artist_name,spotify_artist_id,sample_genre,song_count,lastfm_top_tags,refined_bucket,refined_confidence,refined_reason,manual_bucket,notes
Close Your Eyes,4EJdKdDfQ0XQ4YBhh12xZe,,2,post-hardcore | melodic hardcore | hardcore | pop punk | christian | Easycore | alternative | american,christian,medium,christian tag in lastfm tags,,
Corey Crowder,0Om7HtVeWrbWwWdOo1W5rf,pop,5,acoustic | singer-songwriter | pop | Relaxing Tunes | heartfelt | christian | Mellow | male vocalists,christian,medium,christian tag plus sample genre,,
Corrinne May,76b92CaxVwSWrhAmVPUWUx,pop,3,female vocalists | piano | pop | singer-songwriter | indie | Asian | christian | singapore,christian,medium,christian tag plus sample genre,,
Craig's Brother,7vQBiuIC5Ac3zwezkl6Y8S,punk,2,punk rock | punk | pop punk | emo | skate punk | rock | christian | melodic punk rock,christian,medium,christian tag in lastfm tags,,
Dan Bremnes,235ZVf4thM2FFfyE4ACwB3,alternative,6,american | christian,christian,medium,christian tag plus sample genre,,
Dave Barnes,7hbH1qupmU6HxVBjWJItlq,pop,37,singer-songwriter | acoustic | soul | male vocalists | folk rock | christian | singer songwriter | pop,christian,medium,christian tag plus sample genre,,
David Baloche,3w9rogLPzczuHr6jOnMUeP,alternative,1,christian,christian,medium,christian tag plus sample genre,,
Diamond Rio,0svyIX7Xu3DVMkrOtB88i6,country,3,country | Diamond Rio | modern country | country group | Love | favorite country | american | christian,christian,medium,christian tag plus sample genre,,
Divided By Friday,5yNN92qKENCA4pWmoSZJpG,pop rock,2,pop punk | powerpop | emo | christian | rock | emocore | alternative rock | mall emo,christian,medium,christian tag in lastfm tags,,
Drew Holcomb & The Neighbors,4RwbDag6jWIYJnEGH6Wte9,pop,43,folk | singer-songwriter | christian | americana | Alt-country | country | alternative | folk rock,christian,medium,christian tag plus sample genre,,
Eben,5vJ3Jo3CZKmiYSUDdm6lpm,,5,electronic | trap | Hip-Hop | Classical | romantic | EDM | christian,christian,medium,christian tag in lastfm tags,,
eleventyseven,6QcsVvR5z15HL7FT4QF2KD,pop rock,3,pop punk | punk rock | christian | indie | power pop | powerpop | electronic | Pop-punk,christian,medium,christian tag in lastfm tags,,
ELI,63gbXCha1jpkrJJ9K5gGpR,pop,1,metalcore | melodic metalcore | christian | Gothic Metal | hardcore | pop | Christian Metalcore | female vocalists,christian,medium,christian tag plus sample genre,,
Emery,4feAxLUxIU7G4KXhH0h2ni,,19,post-hardcore | screamo | emo | rock | emocore | alternative rock | christian | alternative,christian,medium,christian tag in lastfm tags,,
Emily Brimlow,5ncA0WGi828yjhqmvHsJRj,pop,1,soul | folk | rnb | pop | my top songs | christian,christian,medium,christian tag plus sample genre,,
Fit For A King,0OgdRTPItr9dw4XYp4JJUx,metal,2,metalcore | post-hardcore | christian | hardcore | screamo | metal | Christian Metalcore | american,christian,medium,christian tag plus sample genre,,
FLAME,2s6kyMmJZFgPCHXU0QxJLp,rap,1,black metal | Drum and bass | neurofunk | finnish | thrash metal | blackened thrash metal | christian | rap,christian,medium,christian tag plus sample genre,,
