file_name,file_path,title,author,key,reason
all the way my saviour leads me i7018,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all the way my saviour leads me i7018,All the way my Saviour leads me,,C,missing_author
all things are possible i98919,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all things are possible i98919,All Things Are Possible,,C,missing_author
all to him i98844,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all to him i98844,All to Him,New Life Worship,,missing_chords
all we like sheep i91772,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\all we like sheep i91772,All We Like Sheep,Don Moen,,missing_chords
alleluia i6295,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alleluia i6295,Alleluia,Jude Del Hierro,,missing_chords
alleluia i92342,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alleluia i92342,Alleluia,Jerry Sinclair,,missing_chords
alleluia to the lamb i106178,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alleluia to the lamb i106178,Alleluia to the Lamb,,,"missing_author,missing_chords"
almighty god i90865,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\almighty god i90865,Almighty God,Antônio Cirilo,,missing_chords
almost there i108998,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\almost there i108998,Almost there,,Bbm,"missing_author,missing_chords"
alpha and omega i12484,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\alpha and omega i12484,Alpha and Omega,,,"missing_author,missing_chords"
always good i98600,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\always good i98600,Always Good,Hannah McClure / Rita Springer,,missing_chords
amazed i3641,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\amazed i3641,Amazed,,D,missing_author
amazing grace i64545,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\amazing grace i64545,Amazing grace,,D,missing_author
amazing grace i76291,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\amazing grace i76291,Amazing Grace,John Newton,,missing_chords
amazing grace i89974,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\amazing grace i89974,Amazing Grace,,,"missing_author,missing_chords"
amazing grace shall always be i64137,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\amazing grace shall always be i64137,Amazing grace shall always be,,,"missing_author,missing_chords"
ancient words i64311,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\ancient words i64311,Ancient words,,F,missing_author
and my soul knows very well i99005,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\and my soul knows very well i99005,And my Soul knows very well,,,"missing_author,missing_chords"
angel voices ever singing i11062,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\angel voices ever singing i11062,"Angel Voices, Ever Singing","Monk, Edwin George (1819-1900), Pott, Francis (1832-1909)",C,missing_chords
another in the fire i98329,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\another in the fire i98329,Another In The Fire,,Am,"missing_author,missing_chords"
anything that cost me nothing i103970,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\anything that cost me nothing i103970,ANYTHING THAT COST ME NOTHING,,Em,"missing_author,missing_chords"
are ye able said the master i98659,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\are ye able said the master i98659,"""Are ye able,"" said the Master",Earl Marlatt,,missing_chords
are you washed by the water i64114,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\are you washed by the water i64114,Are you washed by the water,,,"missing_author,missing_chords"
arise and go i87332,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\arise and go i87332,Arise and Go,,,"missing_author,missing_chords"
arise possess your inheritance i64505,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\arise possess your inheritance i64505,Arise possess your inheritance,,E,missing_author
arise shine i97410,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\arise shine i97410,Arise Shine,Kent Henry,,missing_chords
as a parched land thirsts for water i3846,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\as a parched land thirsts for water i3846,As A Parched Land Thirsts for Water,Turgay Üçal,,missing_chords
as david did i96951,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\as david did i96951,As David Did,Marty J. Nystrom,,missing_chords
as i journey i64381,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\as i journey i64381,As I journey,,,"missing_author,missing_chords"
as i kneel before you i87564,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\as i kneel before you i87564,As I Kneel Before You,Maria Parkinson,,missing_chords
as the deer i827,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\as the deer i827,As the Deer,Martin J. Nystrom,Am,missing_chords
ascend i46916,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\ascend i46916,Ascend,Bethel Music,,missing_chords
ascribe greatness i26,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\ascribe greatness i26,Ascribe Greatness,,G,missing_author
at calvary i106676,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\at calvary i106676,at calvary,,,"missing_author,missing_chords"
at that first eucharist i11265,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\at that first eucharist i11265,At That First Eucharist,"Monk, William Henry (1823-1889), Turton, William H. (1856-1938)",D,missing_chords
at the cross i8985,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\at the cross i8985,At the Cross,Isaac Watts & Ralph E. Hudson,,missing_chords
at the lambs high feast i11065,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\at the lambs high feast i11065,At The Lamb's High Feast,"Czech, Kirchengeseng, 1566, Latin",C,missing_chords
at your name i3276,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\at your name i3276,At Your Name,,G,missing_author
author of all life i11066,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\author of all life i11066,Author of All Life,"White, Benjamin Franklin (1800-1879), Dumont, Brian James (1971-)",A,missing_chords
authority i110188,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\authority i110188,Authority,Elevation Worship,Am,missing_chords
ave maria i87564,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\ave maria i87564,Ave Maria,Maria Parkinson,,missing_chords
awake my soul an offering bring i11069,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\awake my soul an offering bring i11069,"Awake My Soul, An Offering Bring","Ravenscroft, Thomas (1592-1635), Penney, Brian L. (1951-)",F,missing_chords
awake o israel i7833,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\awake o israel i7833,Awake O Israel,Merla Watson,,missing_chords
awesome god i115,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\awesome god i115,Awesome God,,,"missing_author,missing_chords"
back to the start i48469,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\back to the start i48469,Back To The Start,Martin Smith,,missing_chords
bambelela i18,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bambelela i18,Bambelela,,,"missing_author,missing_chords"
baruch adonai i90794,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\baruch adonai i90794,Baruch Adonai,Joel Chernoff,,missing_chords
baruch ata adonai i97424,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\baruch ata adonai i97424,Baruch Ata Adonai,Oxana Eliahu,,missing_chords
battle hymn of the republic i64208,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\battle hymn of the republic i64208,Battle Hymn Of The Republic,,,"missing_author,missing_chords"
be bold and be strong i92432,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\be bold and be strong i92432,Be Bold and Be Strong,Eugene Greco,,missing_chords
be enthroned i54615,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\be enthroned i54615,Be enthroned,,C,missing_author
be glorified i64489,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\be glorified i64489,Be glorified,,,"missing_author,missing_chords"
be it unto me i106809,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\be it unto me i106809,Be It Unto Me,,,"missing_author,missing_chords"
be lifted high i53789,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\be lifted high i53789,Be Lifted High,,Dm,"missing_author,missing_chords"
be lifted up i91,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\be lifted up i91,Be Lifted Up,,E,missing_author
be my vision i55316,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\be my vision i55316,Be My Vision,,,"missing_author,missing_chords"
be still i46922,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\be still i46922,Be Still,Bethel Music,,missing_chords
beautiful beautiful jesus is beautiful i7695,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\beautiful beautiful jesus is beautiful i7695,"Beautiful, beautiful Jesus is beautiful",,,"missing_author,missing_chords"
beautiful for situation i7853,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\beautiful for situation i7853,Beautiful for situation,Robert Ewing,,missing_chords
beautiful i11933,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\beautiful i11933,Beautiful,Phil Wickham,,missing_chords
beautiful saviour i36,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\beautiful saviour i36,Beautiful Saviour,,A,missing_author
beautiful things i42024,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\beautiful things i42024,Beautiful things,,,"missing_author,missing_chords"
beauty for ashes i108563,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\beauty for ashes i108563,Beauty For Ashes,,F,missing_author
because he lives i42025,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\because he lives i42025,Because He Lives,,G,missing_author
because of christ i108627,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\because of christ i108627,Because of Christ,,,"missing_author,missing_chords"
before the skies i87973,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\before the skies i87973,Before the Skies,"Isaac Watts, Doug Plank",,missing_chords
before you call me home i48463,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\before you call me home i48463,Before You Call Me Home,Mark Schultz,,missing_chords
before you i will bow down in silence i54794,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\before you i will bow down in silence i54794,Before You I will bow down in silence,,,"missing_author,missing_chords"
behold behold i stand at the door i105485,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\behold behold i stand at the door i105485,"Behold, Behold I stand at the door",,,"missing_author,missing_chords"
behold the lamb i64233,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\behold the lamb i64233,Behold The Lamb,,,"missing_author,missing_chords"
behold the lord upon his throne i1700,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\behold the lord upon his throne i1700,Behold the Lord upon His throne,,G,missing_author
behold what manner of love i7394,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\behold what manner of love i7394,"Behold, what manner of love",,,"missing_author,missing_chords"
behold what manner of love the father i7394,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\behold what manner of love the father i7394,Behold What Manner of Love the Father,,,"missing_author,missing_chords"
behold what manner of man is this i109043,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\behold what manner of man is this i109043,Behold what manner of man is this,,,"missing_author,missing_chords"
beloved and blessed i108587,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\beloved and blessed i108587,Beloved and blessed,,Bb,missing_author
bergsig goodness of god i108608,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bergsig goodness of god i108608,Bergsig: Goodness of God,,A,missing_author
bergsig holy forever i108609,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bergsig holy forever i108609,Bergsig: Holy Forever,,D,missing_author
bergsig how great is our god i105737,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bergsig how great is our god i105737,Bergsig: How Great is our God,,G,missing_author
bergsig worthy of it all i108789,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bergsig worthy of it all i108789,Bergsig: Worthy of it all,,D,missing_author
