artist_name,spotify_artist_id,sample_genre,christian_signal,suggested_bucket,manual_bucket,notes,song_count
Chad Hates George,6nZs04GLkNYMWY2WMHfEpz,punk,,review,,,6
CHVRCHES,3CjlHNtplJyTf9npxaPl5w,pop,,review,,,33
Vivien Savage,4JB4YibTxVBeW30DtePCZT,pop,,review,,,1
Mason Jennings,6CQrZZn0g2ZNfIcXbi4pdo,,,review,,,11
Talat Mahmood,2fi9hpqNbi5neTbKSqG0vW,,,review,,,1
Lorenzo,62zLrboqOTPyozwi721CVy,rap,,review,,,1
Ali Sethi,3NegWDGp038A3FIi3gSYzl,pop,,review,,,1
Vian Izak,46U5WmejGzsPqUiw3Uw0Xq,,,review,,,6
Austin George,5SVHLhz1Vv5m4xmkT4Pk6D,soul,,review,,,3
Mandisa,0YPElKYjOD1sofFCtLdYj3,rock,,review,,,15
Kevin Denney,7IGC89BUqUzXHFocEqcoow,country,,review,,,2
Jacques Brel,4RN2vlFWepLa46qQIU2PHs,,,review,,,15
Curren$y,6X8WdFjrNhXATMDSs26aCc,rap,,review,,,1
Alice Ripley,7KLUKenP88WNsnb7MKa70M,,,review,,,1
Empathy Test,4WM2JNPCcZ7f6M72C0bTyM,pop,,review,,,4
Airways,5fRpvt0RU5UL6YwQekpofE,rock,,review,,,3
Raised Fist,7ik758oYwkKmQtbZtAdOOm,,,review,,,1
Rozwell Kid,3g43Z25cVRJHFn8ph8cdO0,alternative,,review,,,2
Sarah Buxton,2xTlb6eueddQmWsxImpDbP,country,,review,,,1
Tusse,1BwDWgdDJe3TJXLZkBkpsI,pop,,review,,,3
Jont,27PAZpDiy0LBXUVkQ7D2UY,pop,,review,,,2
Dead Poet Society,31M8EXHYtEqOqVb1X7JRVe,alternative,,review,,,2
Dillon Carmichael,3lvYE3o75PNjyvcKuBPXo6,country,,review,,,7
Joe Mullins & The Radio Ramblers,1nlVHZslyaaNB0p5SUJe17,,,review,,,1
AFK,3eIM4tCQTGJXb0RDPfF2wL,,,review,,,1
Zack Tabudlo,67IN4cLJ7798gUapyZlmac,pop,,review,,,20
Melt,0G7KI9I5BApiXc5Sqpyil9,soul,,review,,,5
Suzanne Vega,3X0tJzVYoWlfjLYI0Ridsw,pop,,review,,,10
Angels Of Light,45KTYxYRDjlP4cAd2imJif,rock,,review,,,3
Young & Sick,3pQXFWbvLit77NpvNmOo3k,pop,,review,,,1
Kuzu Mellow,30zfTLecaC1zCXFXGTYNWB,rap,,review,,,2
Armani White,2qAwMsiIjTzlmfAkXKvhVA,rap,,review,,,1
Loote,00TKPo9MxwZ0j4ooveIxWZ,pop,,review,,,11
Little Apple Band,3FCu4XKU7SMobrCqEnTRSJ,,,review,,,1
Sam Airey,1VTqcwo2gWop75nRqyCGJw,pop,,review,,,2
Ry Cooder,1CPwHx5lgVxv0rfcp7UXLx,jazz,,review,,,4
Patrick Bruel,0vmrFTWCwK3gFGDzeUzeMg,pop,,review,,,4
Dalriada,4mIdyUBqjS36BQHYFBbGjm,metal,,review,,,1
Josh Melton,5l5SDQs2xyEidWQOw3ro6T,pop,,review,,,2
Yuna,3kHVioJpVxlazAAKQ64pC1,pop,,review,,,1
Mount Eerie,4Sw0SFu1fFdYXdAEVdrqnO,pop,,review,,,17
The 1975,3mIj9lX2MWuHmhNCA7LSCW,pop rock,,review,,,42
Emma Oliver,7KUmMAnwfGBOs77ReTZJte,,,review,,,1
Elizabeth Cook,0dyEUZv8ftA0dzL5vb2Y9s,country,,review,,,1
Winona Oak,3XC57xz74X3xUi1hv4mge1,pop,,review,,,15
King King,4SXsNXgRundFdewI58vbZT,jazz,,review,,,1
The Righteous Brothers,4b0WsB47XCa9F83BmwQ7WX,pop rock,,review,,,1
Camélia Jordana,2XkCa3HcntokIgOP5N3QO7,country,,review,,,1
Collision of Innocence,35wkX6HAVNXCsDF79SnoGc,rock,,review,,,1
Robert Jon & the Wreck,4FXvPjJz57tIo23OpzHlYC,rock,,review,,,13
The Flying Burrito Brothers,0rESpKEusFHxhW59MIf7eM,rock,,review,,,10
Emmanuel Horvilleur,3Pc0Gebx1aAAJlZh3zysmI,alternative,,review,,,1
Silly Boy Blue,4m9uyzV105Mtdiz7mEco9J,alternative,,review,,,1
Kid Rock,7dOBabd5O4CvKrg4iriHTM,metal,,review,,,35
little hurricane,5VLQQzAkJrzG7QggE4DVg2,rock,,review,,,6
Glee Cast,0SCbttzoZTnLFebDYmAWCm,pop,,review,,,93
KAYEF,4hXT6A14n901v8DU5Of337,pop,,review,,,1
Belgian Asociality,7914wQVYEuUYFCJKr4rBkx,metal,,review,,,1
Methyl Ethel,3I3Fz1DeUY0icXFvOjbXm7,alternative,,review,,,5
Los De Adentro,282UIRNs6aprjrs0ynDn6v,rock,,review,,,1
Zane Williams,7LjXLho6TAS9wkSfnjd0AX,country,,review,,,5
Matt Andersen,2dOaom01dm1MhNLnyHpWD5,jazz,,review,,,7
Los Bravos,7ewJCECkpkh56w0Y4VWzSY,,,review,,,1
Toad The Wet Sprocket,4j7EVY3kuDwLPfD2jfC7LC,pop rock,,review,,,3
Phony Ppl,0oBsnAC3fzYkTHF3bkfNx6,soul,,review,,,5
James Hand,0LhTZWBL8vvxZhJxYBWUmi,,,review,,,1
guardin,6zqcGQ6MH6yetBUoquMnL7,rap,,review,,,6
Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,electronic,,review,,,5
The Twins,2OrWQgeChXJq6nggwOzpun,,,review,,,1
Abby Cates,2LwlPBOoq9EqTOmKi4lJ2n,,,review,,,3
Testament,28hJdGN1Awf7u3ifk2lVkg,metal,,review,,,1
Arnau Griso,5gnF05YcUt010aB7EWk96U,rock,,review,,,2
Once Mekel,57rIw0vk3eEuJlVblR4CrE,jazz,,review,,,4
La Energia Nortena,6uFxO15AG9aoz7MS4aQQvp,,,review,,,1
D'yani,3c4mJY5ixVvzRBdYvBtxci,,,review,,,1
Revelle,02EVANzKGRlR3TTTiaGAoA,pop,,review,,,1
John Hiatt & The Goners,4Iz67ZmbPzHUhzbYL5ogxI,rock,,review,,,1
The Planet Smashers,2wYNzTzigUWAeVLaxeRrg3,punk,,review,,,5
Benjie,6hvziLSyBcC5XIYxdT5Mej,reggae,,review,,,1
Dan Davidson,3Av6JdBs0MuhIPnCqPg6EI,country,,review,,,1
Leslie Clio,2Z8ZYYqedbWaOlSsBRVlmQ,pop,,review,,,3
O Surto,6SXLkJrpyA2cxh2B1Xq3b7,rock,,review,,,1
FTISLAND,6KhH771vq2X2Aom91nNzpZ,pop rock,,review,,,13
MandoPony,2RgldIVB6hgTzEjSXWNFE2,,,review,,,2
Johan Verminnen,3gH63DgDuvcGgXEmkHB2ur,pop rock,,review,,,4
Slam,6ZK1l84rj8SLSn2tXVgCsf,rock,,review,,,1
Andy & Lucas,4dqi10p8S91S2ChvcWsi1L,pop,,review,,,7
Neil Young,6v8FB84lnmJs434UJf2Mrm,rock,,review,,,6
The Rubens,2hrWpLNoJcs1EnWSXvB6JI,alternative,,review,,,3
Gwar,3dnH7fdVm2X07MK6Fkbhbt,metal,,review,,,1
Stellar,5yw4tA8D5uG7tT3NaDvq10,pop,,review,,,7
Morodo,2OnH4HpywAxWkSOEsyjdjn,reggae,,review,,,6
Bully,34LdbFt5sVXKTJOzf1iExQ,punk,,review,,,3
The Smithereens,06KgaEpSluofkcChSo7TNr,pop,,review,,,3
Wabie,3wOQaMNQU0rbzWyGXIudmE,pop,,review,,,1
Halestorm,6om12Ev5ppgoMy3OYSoech,metal,,review,,,38
Ivy Adara,43G7qlx7v7OGJJrUTXIqLq,,,review,,,1
Sarcastic Sounds,1bq8rqNnfrojn0OSAfeNXJ,,,review,,,3
LiL Lotus,2RJWS2Lmkw2uExDmFMe1Ry,rap,,review,,,1
Mental,0x5wSjDspn7vOtTUUvWvwI,,,review,,,1
Barleyjuice,1EE3UEIPINEqOaWU8L3FvO,punk,,review,,,2
ionnalee,7x3Y6pFeDGLJjv1V5uToHv,pop,,review,,,12
Ryan Adams,2qc41rNTtdLK0tV3mJn2Pm,country,,review,,,115
Mingo Fishtrap,7mYdzBqQUa1hb8jdRmMpfE,,,review,,,4
Antonio Orozco,1ADdpen72RPuafRcv0YRBf,pop,,review,,,10
Lucas Masciano,1Q4zkNJkrKBh8AW3LZNVRU,pop rock,,review,,,3
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,rap,,review,,,21
Adam Jacobs,5AmnFjIvQPCZJk3ES5kki4,,,review,,,1
Trini Lopez,5FlTKgucbhHvlJVf0pnvOv,,,review,,,8
Ama Lou,2tAqnHDAgnGtjnlzyoa38L,soul,,review,,,3
The Fratellis,3M4ThdJR28z9eSMcQHAZ5G,rock,,review,,,37
Johnossi,0k5NrYJAazGYrIhzrDslcT,rock,,review,,,13
Stephen Hurd,74PFtvi865w0SZ72quv7BZ,,,review,,,1
Hawthorne Heights,126FigDBtqwS2YsOYMTPQe,pop,,review,,,55
Jazzanova,0nTErwSOllrcUWt3knOG2T,jazz,,review,,,1
Million Dollar Reload,5y2O7Tp2HZKmHEdabOOLlV,rock,,review,,,1
Raury,2PU4qFehXQF7WnlFsJpBiJ,rap,,review,,,1
Antena,3apLA4vM37l7KbHOvpyPIc,pop,,review,,,1
Mikael Wiehe,3VOOmK7ZqJNgOPN1hopJuL,pop,,review,,,2
Current 93,7vF3DcPluq6lZI36VniagW,country,,review,,,5
The Magic Gang,52pNByiBWx6SVMMqqcCA74,alternative,,review,,,1
SDM,0LKAV3zJ8a8AIGnyc5OvfB,rap,,review,,,1
Lil Wyte,21O7WwRkik43ErKppxDKJq,rap,,review,,,1
Julia Cole,48rpE75ZIsnfNFyojfYene,pop,,review,,,3
ZICO,4XpUIb8uuNlIWVKmgKZXC0,pop,,review,,,5
Axel Thesleff,1OpHMC7Qo3lY1sVYaTUQrG,rap,,review,,,1
Playboi Carti,699OTQXzgjhIYAHMy9RyPD,rap,,review,,,5
Spoonboy,2U7vcD3uJaqqzcfpq94Z5L,punk,,review,,,3
DEADLIFE,6YAOorJSNGWyH8m9N7cDeX,,,review,,,2
Indira Radić,4gQCiiQcdrXyPBFqfHcnUi,country,,review,,,1
Marmozets,3KEhhixoMshqSEJ71rS7w1,rock,,review,,,1
A Will Away,3E5tLMdfD5wjBXI0hV6L2E,,,review,,,3
Zevia,6z9k3E8sR90LH0N4zyOxUu,,,review,,,4
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,rock,,review,,,3
Santigold,6Jrxnp0JgqmeUX1veU591p,alternative,,review,,,9
almost monday,42FzVuyJH8YbkhzWSR2n8E,pop,,review,,,5
Keith Richards,08avsqaGIlK2x3i2Cu7rKH,jazz,,review,,,6
Jack Botts,4VeyhwBUfsaWMkQ2Ld8QNl,country,,review,,,3
Zella Day,100sLnojEpcadRx4edEBA6,pop,,review,,,14
Dorothy,6IOvhXyk5edbA2DVaeP9Up,rock,,review,,,19
Hanna Ferm,2xQUbkvQFCU8DpdBFbMfLq,pop,,review,,,2
Bill Haley & His Comets,3MFp4cYuYtTZe3d3xkLLbr,rock,,review,,,1
Kevin Morby,6fxk3UXHTFYET8qCT9WlBF,pop rock,,review,,,21
ONE OK ROCK,7k73EtZwoPs516ZxE72KsO,pop rock,,review,,,53
Gaby Moreno,0K9pSmFx0kWESA9jqx8aCW,pop rock,,review,,,3
Jim Croce,1R6Hx1tJ2VOUyodEpC12xM,rock,,review,,,6
BURNS,5eKqhPrKad0J9xGAtq3rW7,pop,,review,,,1
Balaam And The Angel,5IKyZkmNB2I8WZ6B6hUZrN,rock,,review,,,1
vbnd,5KbEFz293OMDqqk9ajZKZV,,,review,,,1
