artist_name,track_name,year,main_genre,spotify_song_id,spotify_artist_id,christian_signal
ICF Worship,Alive (Breathe On Me) - Live,2018,,73BDlgL6zIz7zUaMmSV4C7,0uw5aNQFG4WgdsqkElEHrW,worship
ICF Worship,All About You,2017,,0qLqLMBQS5y3ZAbkc3MIGy,0uw5aNQFG4WgdsqkElEHrW,worship
ICF Worship,Eyes On You - Live,2016,,2i0OLLVc24KiQKIOqyY1yp,0uw5aNQFG4WgdsqkElEHrW,worship
ICF Worship,Only Jesus (How Great) - Live,2022,,1GMt5NRuxPJzkQ3jXH28ft,0uw5aNQFG4WgdsqkElEHrW,worship
ICF Worship,Our Father - Live,2021,,5eaxQpwigjy9aZzKDILVul,0uw5aNQFG4WgdsqkElEHrW,worship
ICF Worship,Rock Of Ages - Live,2021,,1iMDmTJMJWlAoKfAkKr6HS,0uw5aNQFG4WgdsqkElEHrW,worship
Maranatha! Gospel,I Love You Lord Today,2015,soul,25piT5Iq30f1hVFzf1HfTz,1CGxlU3N3Nk3uCEoYhj9oX,gospel
Old Time Gospel Hour Quartet,Just Over In The Gloryland,2004,,2vH7xd2T0hoj7x58jOEN6E,2u1ISXVRljasFOG51aSqjP,gospel
Old Time Gospel Hour Quartet,Just Over In The Gloryland,2004,,2vH7xd2T0hoj7x58jOEN6E,2u1ISXVRljasFOG51aSqjP,gospel
Oslo Gospel Choir,Open The Eyes Of My Heart,2007,,27aAn2EFwpXIXOUrcMdab5,4e2YUhdd1EKare0kqDSP8j,gospel
Renascer Praise,Ser Conhecido de Deus,2008,,7zFX99nO2DbgPu22Bwm8KP,2eYrf1zekGvHGRkl9DZyGR,praise
Smokey Mountain Gospel Singers,Give Me That Old-Time Religion,2012,country,7DQlbuCa6d9UEYgMV8yg7i,6f84z2rSJ8MNpB8ruPjLLt,gospel
The Gospel Legends,Somebody Prayed for Me Pt2,2009,,3PMYuXVMfgHImcRo6bhvTx,3QbtmOWpaVqynkW7TLW3O0,gospel
Total Praise,Ensemble louons le seigneur,2008,,1nda0Kj0UDiN6TlnjOTq7l,3bQzKjCNfj3JmwDKnFJfaf,praise
Urban Life Worship,Mutig komm ich vor den Thron,2016,,3i65fj9NX9PPNTDKyhlWvP,3seJe7rQXBhVcJsKBeTjVc,worship
We Will Worship,Bayethe (Live),2013,,59supog61kLp3vQ6pApc67,1GDdTeLX9EAledKnHJaZ7i,worship
We Will Worship,Come Holy Spirit (Uthando) [Live],2018,,4O2RlvCVYEUizsZwNJlFsx,1GDdTeLX9EAledKnHJaZ7i,worship
We Will Worship,Mvini (Rest in You) [Live],2018,,4Q1nHNbDDvsPA5OLSJ2o1E,1GDdTeLX9EAledKnHJaZ7i,worship
We Will Worship,Nkosi Yezulu,2013,,0iJ8Xh3ndYcswhMZhbACUt,1GDdTeLX9EAledKnHJaZ7i,worship
We Will Worship,This I Know (Ungizungezile) [Live] (feat. Khaya Mthethwa),2016,,6p1GbYyuVJayHCyBk4K1p8,1GDdTeLX9EAledKnHJaZ7i,worship
Worship Central,All For Love (Gethsemane) - Live,2018,,1d0xX8GVn0oDPgHJXeIhi1,3i0j8jwJKHchZU40nbd2Xt,worship
Worship Central,Can't Stop Your Love - Live,2014,,271asm0EIZHJdxxfW0iOQt,3i0j8jwJKHchZU40nbd2Xt,worship
Worship Central,Dry Bones - Live,2013,,2IIjJ7CtzE2gZyivu3JYTk,3i0j8jwJKHchZU40nbd2Xt,worship
Worship Central,God Most High - Live,2013,,7JA84wgKav1xQs7rsBf6zw,3i0j8jwJKHchZU40nbd2Xt,worship
Worship Central,Let It Be Known - Live,2013,,4rpeo8TfJZVpeh0lvsu7BA,3i0j8jwJKHchZU40nbd2Xt,worship
Worship Central,Praise The Lord (Evermore),2017,,1A82wdBbRssHNP5PZSQctn,3i0j8jwJKHchZU40nbd2Xt,worship
Worship Central,Set Apart - Live,2014,,7sW4EIXiekipVtCcIiAqjL,3i0j8jwJKHchZU40nbd2Xt,worship
Worship Central,Stir a Passion - Live,2018,,5Yd2LrQZg3ouzzvgC1QKvJ,3i0j8jwJKHchZU40nbd2Xt,worship
Worship Central,The Way - Live,2014,,5FwWDLc0qKR7dYsthePn4S,3i0j8jwJKHchZU40nbd2Xt,worship
Worship Central,To God Be The Glory,2017,,2KIa88a7BVbPDxzev1j8dO,3i0j8jwJKHchZU40nbd2Xt,worship
Worship Central,To God Be The Glory,2017,,2KIa88a7BVbPDxzev1j8dO,3i0j8jwJKHchZU40nbd2Xt,worship
Worship Central,Waves,2017,,6CkjJjGjTvKplmx3nvVRHV,3i0j8jwJKHchZU40nbd2Xt,worship
Worship Central,Worth It All - Live,2014,,3BIfIdg6nDWqQCshWSh6QU,3i0j8jwJKHchZU40nbd2Xt,worship
Worship Music Piano,Humble King,2016,,0E7YC0g5AOABpKmBcVB5x7,1TwYFIkuvKwm21CCns3fY2,worship
Worship Music Piano,The Potter's Hand,2016,,3pj1khZKsvtBHRKcCefe1y,1TwYFIkuvKwm21CCns3fY2,worship
Worship Music Piano,We Want to See Jesus Lifted High,2016,,3qlETg41mh5L8YJ855wk08,1TwYFIkuvKwm21CCns3fY2,worship
