file_name,file_path,title,author,key,verse,pre_chorus,chorus,bridge,full_progression
before the throne of god above i10,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\before the throne of god above i10,Before the Throne of God Above,"Charitie Lees Bancroft, Vikki Cook",C,1 4 1 3m 6 6 4 5 6m 6 1 4 1 2m 4 1 4 5 1 4 6m 1 4 6m 4 5 1 5 6m 4 1 5 6m 4 1 4 1 3m 4 5 6m 1 4 1 2m 4 1 4 5 1 4 6m 1 4 6m 4 5 b7 6m b7 4 5 1 4 1 3m 4 5 6m 1 4 1 2m 4 1 4 5 1 4 6m 1 4 6m 4 5 1 5 6m 4 1 5 6m 4,,,,1 4 1 3m 6 6 4 5 6m 6 1 4 1 2m 4 1 4 5 1 4 6m 1 4 6m 4 5 1 5 6m 4 1 5 6m 4 1 4 1 3m 4 5 6m 1 4 1 2m 4 1 4 5 1 4 6m 1 4 6m 4 5 b7 6m b7 4 5 1 4 1 3m 4 5 6m 1 4 1 2m 4 1 4 5 1 4 6m 1 4 6m 4 5 1 5 6m 4 1 5 6m 4
behold a host arrayed in white i11071,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\behold a host arrayed in white i11071,"Behold, A Host, Arrayed in White","Norwegian, Brorson, Hans Adolf (1694-1764)",Eb,#4 #4,,,,#4 #4
behold god is great i48846,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\behold god is great i48846,Behold God Is Great,Jake Hamilton,A,1m,,1m 1 1m b7 b6 4m,1m b7 b6 b6 1m 1m 1m 1,1m 1m 1 1m b7 b6 4m 1m b7 b6 b6 1m 1m 1m 1
behold our god i12926,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\behold our god i12926,Behold Our God,"Stephen Altrogge, Ryan Baird, Meghan Baird, Jonathan Baird",C,1 3m 1 3m 4 5 6m 3m 5 1 3m 1 3m 4 5 6m 3m 1 3m 1 3m 4 5 6m 3m 5,,1 5 6m 4 1 5 1 5 6m 4 1 5,1 4 6m 4 1 4 6m 4,1 3m 1 3m 4 5 6m 3m 5 1 3m 1 3m 4 5 6m 3m 1 3m 1 3m 4 5 6m 3m 5 1 5 6m 4 1 5 1 5 6m 4 1 5 1 4 6m 4 1 4 6m 4
behold the lamb i103968,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\behold the lamb i103968,BEHOLD THE LAMB,"Keith Getty, Kristyn Getty, Stuart Townend",F,1 2 6m 5 2 1 5 2 1 2 6m 5 2 1 2 5 1 5 1 2 1 5 1 2 1 5 1 2 4 3 1 2 5 1 2 6m 5 2 1 5 2 1 2 6m 5 2 1 2 5 1 2 6m 5 2 1 5 2 1 2 6m 5 2 1 2 5 1 2 6m 5 2 1 5 2 1 2 6m 5 2 1 2 5 4 1 5 1 2 1 5 1 2 4 1 5 1 2 1 2 5,,,,1 2 6m 5 2 1 5 2 1 2 6m 5 2 1 2 5 1 5 1 2 1 5 1 2 1 5 1 2 4 3 1 2 5 1 2 6m 5 2 1 5 2 1 2 6m 5 2 1 2 5 1 2 6m 5 2 1 5 2 1 2 6m 5 2 1 2 5 1 2 6m 5 2 1 5 2 1 2 6m 5 2 1 2 5 4 1 5 1 2 1 5 1 2 4 1 5 1 2 1 2 5
behold then sings my soul i47178,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\behold then sings my soul i47178,Behold (Then Sings My Soul),Joel Houston,B,4 6m 7 4 6m 4 b7 6m 5 4 b7 6m 5 4 6m 5 4 b7 6m 5 4 5 4 6m 5 5 4 5 7 6m 7 4,,,,4 6m 7 4 6m 4 b7 6m 5 4 b7 6m 5 4 6m 5 4 b7 6m 5 4 5 4 6m 5 5 4 5 7 6m 7 4
believe the armour of god i106413,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\believe the armour of god i106413,Believe the Armour of God,Lurianne Moolman,B,1 6m 7 1 6m 7 1 6m 7 1 6m 7 7,2m 4 5 2m 4 5 7 2m 4 5 2m 4 5 7,,1 6m 2m 5 1 6m 2m 5 7 7 6m 2m 5,1 6m 7 1 6m 7 1 6m 7 1 6m 7 7 2m 4 5 2m 4 5 7 2m 4 5 2m 4 5 7 1 6m 2m 5 1 6m 2m 5 7 7 6m 2m 5
beloved i42026,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\beloved i42026,Beloved,Mike Donehey,C,1 4 1 4 b7 5,,6m 4 1 5 6m 4 5 6m 4 1 5 6m 4 5 6m 6,4 1 6 6m 5 6m 4 6m 4 5,1 4 1 4 b7 5 6m 4 1 5 6m 4 5 6m 4 1 5 6m 4 5 6m 6 4 1 6 6m 5 6m 4 6m 4 5
beneath the cross of jesus i11072,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\beneath the cross of jesus i11072,Beneath The Cross Of Jesus,"Maker, Frederick C. (1844-1927), Clephane, Elizabeth Cecelia Douglas (1830-1869)",Db,b6 b6 b6 b6 6 b6 b6,,,,b6 b6 b6 b6 6 b6 b6
best for me i47434,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\best for me i47434,Best For Me,Darlene Zschech,B,4 4 4 6m 5 4 4 4 5,,,,4 4 4 6m 5 4 4 4 5 6m 5 6m 5 4 4 4 6m 5 2m 6m 4 5 4 4 4 6m 5 2m 3m 4 2m b7 4 4 4 4 5 4 4 4 5 5 1 4 2m
better is one day i82,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\better is one day i82,Better is One Day,"Matt Redman, Kutless",E,1 4 5 1 5 1 4 5 1 5 1 4 5 1 5,,4 5 4 5,6m 5 4 5 6m 4 5 6m 5 4 5 6m 5 4 5,1 4 5 1 5 1 4 5 1 5 1 4 5 1 5 4 5 4 5 6m 5 4 5 6m 4 5 6m 5 4 5 6m 5 4 5
better than life i108739,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\better than life i108739,Better Than Life,Lakewood church,B,1 4 1 b7 1 1 7 7 b7 4 1 4 1 b7 1 1 b7 4 1 4 1 5 4 1 5 4 1 5 4 6m 2m 4 b7 1 4 1 b7 1 4 1 b7 1 b7 4 1 4 1 b7 1 1 b7 4 1 4 1 b7 5 4 1 5 4 1 5 4 6m 2m 4 b7 1 2m 1 4 5 1 2m 1 6m 2m 4 5 1 4 1 5 4 1 5 4 1 5 4 6m 2m 4 5 4 1 5 4 1 5 4 6m 2m 4 b7 1 1 4 1 b7 1 4 1 b7 1 4 1 b7 1 b7 1,,,,1 4 1 b7 1 1 7 7 b7 4 1 4 1 b7 1 1 b7 4 1 4 1 5 4 1 5 4 1 5 4 6m 2m 4 b7 1 4 1 b7 1 4 1 b7 1 b7 4 1 4 1 b7 1 1 b7 4 1 4 1 b7 5 4 1 5 4 1 5 4 6m 2m 4 b7 1 2m 1 4 5 1 2m 1 6m 2m 4 5 1 4 1 5 4 1 5 4 1 5 4 6m 2m 4 5 4 1 5 4 1 5 4 6m 2m 4 b7 1 1 4 1 b7 1 4 1 b7 1 4 1 b7 1 b7 1
better than life i42028,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\better than life i42028,Better Than Life,Marty Sampson,A,1 5 6m 4 1 5 6m 4 1 2m 6m 4 1 5 6m 4,1 2m 1 4 5,1 5 6m 4 1 5 6m 4,1 5 6m 4 1,1 5 6m 4 1 5 6m 4 1 2m 6m 4 1 5 6m 4 1 2m 1 4 5 1 5 6m 4 1 5 6m 4 1 5 6m 4 1
big house i42029,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\big house i42029,Big House,"Barry Blair, Bob Herdman, Mark Stuart, Will McGinniss",G,1 6m 4 1 6m 4 1 6m 4 2 2 2 1 6m 4 5 4 2 2 2 2 2 2 2,,1 4 1 4 1 5 1 2 5 1 2 5 1 2 5 1 2,,1 6m 4 1 6m 4 1 6m 4 2 2 2 1 6m 4 5 4 2 2 2 2 2 2 2 1 4 1 4 1 5 1 2 5 1 2 5 1 2 5 1 2
billy brown i96676,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\billy brown i96676,Billy Brown,Third Day,A,1 1 4 1 b7 4 1 4 1 b7 4 2 3 1 6 5 4 4 1 1 4 1 4 6 2 4 1 1 b7 4 1 b7 4 4 1 b7 4 2 3 6 5 4 6 2 5 4 1 7 3 6 3 5 6 7 1,,,,1 1 4 1 b7 4 1 4 1 b7 4 2 3 1 6 5 4 4 1 1 4 1 4 6 2 4 1 1 b7 4 1 b7 4 4 1 b7 4 2 3 6 5 4 6 2 5 4 1 7 3 6 3 5 6 7 1
blackout i48585,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blackout i48585,Blackout,Steffany Gretzinger,C,1 6m 3m 5 1 6m 3m 1 6m 3m 5 6 1 6m 3m 1 6m 3m 5 1 6m 3m 5 6 1 6m 3m 5 6 1 6m 3m,,3m 6 3m 1 6 6 1 3m 5 1 3m 6,1 6m 3m 5 6 1 6m 3m 1 6m 3m 5 6 1 6m 3m 1 6m 3m 5 6 1 6m 3m,1 6m 3m 5 1 6m 3m 1 6m 3m 5 6 1 6m 3m 1 6m 3m 5 1 6m 3m 5 6 1 6m 3m 5 6 1 6m 3m 3m 6 3m 1 6 6 1 3m 5 1 3m 6 1 6m 3m 5 6 1 6m 3m 1 6m 3m 5 6 1 6m 3m 1 6m 3m 5 6 1 6m 3m
bless his name i47596,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bless his name i47596,Bless His Name,Jeremy Riddle,B,5 b7 6m 5 5 b7 6m 5 5 b7 6m 5 5 b7 6m 5 b7,,5 6m 4 5 6m 4,5 6m 4,5 b7 6m 5 5 b7 6m 5 5 b7 6m 5 5 b7 6m 5 b7 5 6m 4 5 6m 4 5 6m 4
bless the lord i3256,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bless the lord i3256,Bless The Lord,"Jonas Myrin, Matt Redman",G,4 1 5 6m 2 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1,,4 1 5 6m 4 1 5 4 6m 4 5 6m 4 5 1,,4 1 5 6m 2 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 4 6m 4 5 6m 4 5 1
bless the lord o my soul i3256,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\bless the lord o my soul i3256,Bless the Lord o my soul,"Jonas Myrin, Matt Redman",G,4 1 5 6m 2 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1,,4 1 5 6m 4 1 5 4 6m 4 5 6m 4 5 1,,4 1 5 6m 2 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 b6 5 1 b2 1 4 1 5 6m 4 1 5 4 6m 4 5 6m 4 5 1
blessed assurance i6975,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed assurance i6975,Blessed Assurance,"Knapp, Phoebe P. (1839-1908), Crosby, Fanny Jane (1820-1915)",D,5 1 4 1 6m 5 2 5 5 5 1 4 1 2m 5 1 5 1 4 1 6m 5 2 5 5 1 4 1 2m 5 1 5 1 4 1 6m 5 2 5 5 5m 1 4 1 2m 5 1,,5 1 4 1 4 2 5 5 1 4 1 2m 5 1,,5 1 4 1 6m 5 2 5 5 5 1 4 1 2m 5 1 5 1 4 1 6m 5 2 5 5 1 4 1 2m 5 1 5 1 4 1 6m 5 2 5 5 5m 1 4 1 2m 5 1 5 1 4 1 4 2 5 5 1 4 1 2m 5 1
blessed be the lord god almighty i1668,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed be the lord god almighty i1668,Blessed Be the Lord God Almighty,Bob Fitts,C,1 1 2m 5 5 1 4 1 1 2m 2m 5 1 b7,,5 1 1 2m 5 5 1 5 1 1 2m 5 5 1 1,4 5 1 1 4 5 1 1 4 5 3 6m 2m 6 5 1,1 1 2m 5 5 1 4 1 1 2m 2m 5 1 b7 5 1 1 2m 5 5 1 5 1 1 2m 5 5 1 1 4 5 1 1 4 5 1 1 4 5 3 6m 2m 6 5 1
blessed be the name i1642,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed be the name i1642,Blessed be the name,Prosch,D,1 5 1 1 5 1 1 5 1,,4 4 1,,1 5 1 1 5 1 1 5 1 4 4 1
blessed be the name of the lord i42033,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed be the name of the lord i42033,Blessed Be the Name of the Lord,"Clinton Utterbach, Clinton Utterbach",D,1 4 5 3m 4 b6 1 4 5 3m 4 1,,4 1 4 1 5 5 1 4 4 1 4 1 5 5 1,,1 4 5 3m 4 b6 1 4 5 3m 4 1 4 1 4 1 5 5 1 4 4 1 4 1 5 5 1
blessed be the name of the lord i64637,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed be the name of the lord i64637,Blessed be the Name of the Lord,Clinton Utterbach,F,3,,,,3
blessed be your name i68,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed be your name i68,Blessed Be Your Name,Matt and Beth Redman,A,1 5 6m 4 1 5 4 1 5 6m 4 1 5 4 1 5 6m 4 1 5 b2 4 1 5 6m 4 1 5 4,1 5 6m 4 1 5 6m 4,1 5 6m 4 1 5 6m 4,1 5 6m 4 1 5 6m 4,1 5 6m 4 1 5 4 1 5 6m 4 1 5 4 1 5 6m 4 1 5 b2 4 1 5 6m 4 1 5 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4
blessed i1842,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessed i1842,Blessed,Hillsong,D,1 b2 1 b2 1 4 1 4 1 b7 1 b7 1 4 1 4 1 b7 5m b2 4 5 6m 4 5 6m 1 5 4 5 5 1 5 1 5 4 2m 5 1,4 5 4 b6 5,1 5 6m 4 1 5 6m b6,1 5 6m 4,1 b2 1 b2 1 4 1 4 1 b7 1 b7 1 4 1 4 1 b7 5m b2 4 5 6m 4 5 6m 1 5 4 5 5 1 5 1 5 4 2m 5 1 4 5 4 b6 5 1 5 6m 4 1 5 6m b6 1 5 6m 4
blessing and honour i12,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessing and honour i12,Blessing and Honour,"Jamie Harvill, Gary Sadler",D,1 2m 1 2m 1 5 6m 5 1 2m 1 2m 1 6m 5 1,,4 2m 5 1 4 2m 5 1 3m 4 2m 5 1 4 1 2m 1 5 4 1 b2,1 b7 4 5m b7 1 1 b7 4 5m b7 1 1,1 2m 1 2m 1 5 6m 5 1 2m 1 2m 1 6m 5 1 4 2m 5 1 4 2m 5 1 3m 4 2m 5 1 4 1 2m 1 5 4 1 b2 1 b7 4 5m b7 1 1 b7 4 5m b7 1 1
blessing honor glory i42034,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blessing honor glory i42034,"Blessing, Honor, Glory",Geoff Bullock and David Reidy,C,1 5 4 5 1 5 4 5 1 6m 5 3m 1 4 6m b6 1 6m 5 3m 1 4 2m b6 1,,,,1 5 4 5 1 5 4 5 1 6m 5 3m 1 4 6m b6 1 6m 5 3m 1 4 2m b6 1
blind bartimaeus i11075,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blind bartimaeus i11075,Blind Bartimaeus,"Ingalls, Jeremiah (1764-1828), Longfellow, Henry Wadsworth (1807-1882)",F,3 4,,,,3 4
blindman i12485,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\blindman i12485,Blindman,Tim Long,C,6m 5 4 3 6m 5 4 3 6m 5 4 3 3 3 6m 5 4 3 6m 5 4 3 6m 5 4 3 6m 6m 6m 6m 5 4 3 3 3 6m 5 4 6m 3 6m 5 4 6m 3 6m 5 4 6m 3 6m,,,,6m 5 4 3 6m 5 4 3 6m 5 4 3 3 3 6m 5 4 3 6m 5 4 3 6m 5 4 3 6m 6m 6m 6m 5 4 3 3 3 6m 5 4 6m 3 6m 5 4 6m 3 6m 5 4 6m 3 6m
born is the king i47834,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\born is the king i47834,Born Is The King,Hillsong Worship,E,1 4 1 4 4 1 4 4 4 1 4 4 1 4 4 4 1 4 4 1 4 4 4 1 4 4 1 4 4 1 4 4 1 4 4 1 4 4 1 4 4,,1 4 4 1 4 4 1 4 4 4 1 4 4 1 4 4 1 4 4 1 4 4 4 1 4 4,1 4 1,1 4 1 4 4 1 4 4 4 1 4 4 1 4 4 4 1 4 4 1 4 4 4 1 4 4 1 4 4 1 4 4 1 4 4 1 4 4 1 4 4 1 4 4 1 4 4 1 4 4 4 1 4 4 1 4 4 1 4 4 1 4 4 4 1 4 4 1 4 1
boundary lines i48473,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\boundary lines i48473,Boundary Lines,Chris Tomlin,F,1 3m 2 1 1 2 5 3m 1 2 5 3m 1 2 7m 3m 1 2 5 3m 1 2 5 3 1 2 5 1 2 3m 1 2 5,,,,1 3m 2 1 1 2 5 3m 1 2 5 3m 1 2 7m 3m 1 2 5 3m 1 2 5 3 1 2 5 1 2 3m 1 2 5
break every chain i3282,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\break every chain i3282,Break Every Chain,"Will Reagan, Jesus Culture",E,6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 4 6m 4 1 5 4 1 5 6m 4 1 5 6m 4 1 5,,,,6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 4 6m 4 1 5 4 1 5 6m 4 1 5 6m 4 1 5
break free i42036,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\break free i42036,Break Free,Hillsong United,A,6 1 6 1 1 1 6 1 6 1 1 6 1 6 1,6 6 6 6 6 6 1 1 1 1 6 6 4 4 6m 6m 6m 6m 6m 6m 6m 6m,1 4 4 6m 1 4 4 4,5 6 6 4 5 6 6 4 4 5 6 4 4 5 6 4 4,6 1 6 1 1 1 6 1 6 1 1 6 1 6 1 6 6 6 6 6 6 1 1 1 1 6 6 4 4 6m 6m 6m 6m 6m 6m 6m 6m 1 4 4 6m 1 4 4 4 5 6 6 4 5 6 6 4 4 5 6 4 4 5 6 4 4
breathe i1748,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\breathe i1748,Breathe,Marie Barnett,A,1 4 1 4 1 5 6m 5 4 6m 5 1 4 1 4 1 5 6m 5 4 6m 5 1 4 1 4 1 5 6m 5 4 6m 5,,1 5 6m 5 4 6m 5 1 5 6m 5 4 6m 5,,1 4 1 4 1 5 6m 5 4 6m 5 1 4 1 4 1 5 6m 5 4 6m 5 1 4 1 4 1 5 6m 5 4 6m 5 1 5 6m 5 4 6m 5 1 5 6m 5 4 6m 5
breathe i48919,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\breathe i48919,Breathe,C3 music,D,1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 5 6m 4 1 5 2m 5 4 1 2m 4,,,,1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 5 6m 4 1 5 2m 5 4 1 2m 4
breathing the breath i42039,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\breathing the breath i42039,Breathing the Breath,Matt Redman,D,1 3m 6m 5 4 1 2m b6 5 1 3m 6m 5 4 1 2m b6 5 1 3m 6m 5 4 1 2m b6 5 b6 1 3m 6m 5 4 1 2m b6 5,,1 1 4 6m b6 5 1 1 4 6m 4,1 4 6m 4,1 3m 6m 5 4 1 2m b6 5 1 3m 6m 5 4 1 2m b6 5 1 3m 6m 5 4 1 2m b6 5 b6 1 3m 6m 5 4 1 2m b6 5 1 1 4 6m b6 5 1 1 4 6m 4 1 4 6m 4
broken vessels i46351,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\broken vessels i46351,Broken Vessels,"Joel Houston, Jonas Myrin",G,6m 1 6m 1 6m 1 5 6m 5 6m 1 6m 1 6m 1 5 6m 5 1 5 6m 4 2 1 5 2m 6m 4,4 5 6m 4 2 4 5 2m 6m 4,1 5 6m 4 1 5 6m 4,,6m 1 6m 1 6m 1 5 6m 5 6m 1 6m 1 6m 1 5 6m 5 1 5 6m 4 2 1 5 2m 6m 4 4 5 6m 4 2 4 5 2m 6m 4 1 5 6m 4 1 5 6m 4
build my life i48265,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\build my life i48265,Build my life,Passion,G,1 4 1 4 1 4 4 1 4 1 4 1 4 1 4,,4 2m 1 6m 4 2m 1 6m 4 2m 1 6m 4 2m 1 6m,4 5 6m 2 4 5 6m 1,1 4 1 4 1 4 4 1 4 1 4 1 4 1 4 4 2m 1 6m 4 2m 1 6m 4 2m 1 6m 4 2m 1 6m 4 5 6m 2 4 5 6m 1
by grace im saved i11077,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\by grace im saved i11077,By Grace I'm Saved,"König, Johann Balthasar (1691-1758), Scheidt, Christian Ludwig (1709-1761)",F,3 3 4 4,,,,3 3 4 4
by his wounds i42040,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\by his wounds i42040,By His Wounds,Mac Powell,G,1 5 6m 1 5 1,,4 5 6m 5 1 4 5 6m 5 1 4 5,1 5 1 6m 4 5 1,1 5 6m 1 5 1 4 5 6m 5 1 4 5 6m 5 1 4 5 1 5 1 6m 4 5 1
by the streams i48616,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\by the streams i48616,By The Streams,Jonathan Ogden,C,1 5 2 3m 2 1 5 2 3m 2 1,,1 3m 2 1 3m 2 1 3m 2 1 3m 2 1 2 5 3m 6 1 2 5 3m 6 1 2 5 3m 6 1 2 5 3m 6 1 3m 2 1 3m 2 1 3m 2 1 3m 2 1 2 5 3m 6 1 2 5 3m 6 1 2 5 3m 6 1 2 5 3m 6 1 2 5 3m 6 1 2 5 3m 6,1 2 3m 1 2 3m 1 2 3m 1 2 3m 1 2 3m 1 2 3m 1 2 3m 1 2 3m,1 5 2 3m 2 1 5 2 3m 2 1 1 3m 2 1 3m 2 1 3m 2 1 3m 2 1 2 5 3m 6 1 2 5 3m 6 1 2 5 3m 6 1 2 5 3m 6 1 3m 2 1 3m 2 1 3m 2 1 3m 2 1 2 5 3m 6 1 2 5 3m 6 1 2 5 3m 6 1 2 5 3m 6 1 2 5 3m 6 1 2 5 3m 6 1 2 3m 1 2 3m 1 2 3m 1 2 3m 1 2 3m 1 2 3m 1 2 3m 1 2 3m
by your side i42041,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\by your side i42041,By Your Side,Tenth Avenue North,G,1 6m 5 4 1 1 6m b3 5 4 1 1 6m 5 4 1 5,,6m 4 1 5 6m 4 1 5 1,5 6m 4 5 5 6m 4 5,1 6m 5 4 1 1 6m b3 5 4 1 1 6m 5 4 1 5 6m 4 1 5 6m 4 1 5 1 5 6m 4 5 5 6m 4 5
call upon the lord i47339,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\call upon the lord i47339,Call Upon The Lord,Elevation Worship,C,1 6m 4 1 6m 4 b7,,1 5 4 6m 1 4 1 5 4 6m 1 4,6m 4 1 1 4 1 5 6m 4 1 1 4 1 5 1 4 1 5,1 6m 4 1 6m 4 b7 1 5 4 6m 1 4 1 5 4 6m 1 4 6m 4 1 1 4 1 5 6m 4 1 1 4 1 5 1 4 1 5
calvary covers it all i7861,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\calvary covers it all i7861,Calvary covers it all,"Hillsong Worship, Jonas Myrin, Reuben Morgan",A,1 6m 4 5 6m 5 1 4 5 1 1 6m 4 1 6m 4 5 1 6m 4 5 b2 6m 1 4 5 1,,,,1 6m 4 5 6m 5 1 4 5 1 1 6m 4 1 6m 4 5 1 6m 4 5 b2 6m 1 4 5 1
calvary i7861,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\calvary i7861,Calvary,"Hillsong Worship, Jonas Myrin, Reuben Morgan",A,1 6m 4 5 6m 5 1 4 5 1 1 6m 4 1 6m 4 5 1 6m 4 5 b2 6m 1 4 5 1,,,,1 6m 4 5 6m 5 1 4 5 1 1 6m 4 1 6m 4 5 1 6m 4 5 b2 6m 1 4 5 1
can i ascend i42043,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\can i ascend i42043,Can I Ascend,Matt Redman,D,5 #4 1 5 5 #4 1 5 2m 4 5 2m 4 5,,1 5 1 5 1 5 2m 1 1 5 1 5 1 5 2m 1 5,5 #4 1 5,5 #4 1 5 5 #4 1 5 2m 4 5 2m 4 5 1 5 1 5 1 5 2m 1 1 5 1 5 1 5 2m 1 5 5 #4 1 5
captain i47601,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\captain i47601,Captain,Hillsong United,C,4 1 6m 5 4 1 5 6m 4 5 6m 4 1 6m 5 4 1 5 6m 4 5 6m 4 1 6m 5 4 1 5 6m 4 5 6m,,,,4 1 6m 5 4 1 5 6m 4 5 6m 4 1 6m 5 4 1 5 6m 4 5 6m 4 1 6m 5 4 1 5 6m 4 5 6m 1 2m 1 6m 5 4 1 1 2m 1 6m 5 4 1 4 1 6m 5 4 1 5 6m 1 2m 1 6m 5 4 1 1 2m 1 6m 5 4 1 4 1 6m 5 4 1 5 6m 4 1 6m 5 4 1 5 6m 1 2m 1 6m 5 4 1
cares chorus i42044,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\raw\opensong\cares chorus i42044,Cares Chorus,Kelly Willard,D,1 5 4 1 4 1 2m 5 1 5 4 4m 1 5 4 1 1 5 4 1 4 1 2m 5 1 5 4 4m 1 5 6m 4 1 5 4 1,,,,1 5 4 1 4 1 2m 5 1 5 4 4m 1 5 4 1 1 5 4 1 4 1 2m 5 1 5 4 4m 1 5 6m 4 1 5 4 1
