title,artist,song_key,display_key,intro,pre_chorus,chorus,bridge,outro,full_progression
Te Doy Gloria,Hillsong United,C,C,1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4,,,,,1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4
Te Exaltaré,Hillsong United,C,C,1 3m 5 1 1 3m 5 1 1 3m 5 1 1 3m 5 1 1 3m 5 1 1 3m 5 1 3 1 3m 5 1 1 5 5 1 1 3m 5 1 1 3m 5 1 1 3m 5 1 1,,,,,1 3m 5 1 1 3m 5 1 1 3m 5 1 1 3m 5 1 1 3m 5 1 1 3m 5 1 3 1 3m 5 1 1 5 5 1 1 3m 5 1 1 3m 5 1 1 3m 5 1 1
Tear Down The Walls,Hillsong United,Am,C,6m 5 1,,4 6m 5 4 6m 5 2m 6m 1 5 4 1 4 5 6m 4 1 4 5 6m 4 4 6m 5 4 6m 5 2m 6m 1 5 4,2m 6m 1 5 2m 6m 1 5 2m 6m 1 5 4,,6m 5 1 4 6m 5 4 6m 5 2m 6m 1 5 4 1 4 5 6m 4 1 4 5 6m 4 4 6m 5 4 6m 5 2m 6m 1 5 4 2m 6m 1 5 2m 6m 1 5 2m 6m 1 5 4
Teljesen,Hillsong United,D,D,1 5 2,,1 5 3m 5 2 1 3m 2 5 6m 3m 1 5 2 3m 1 5 2 5 1 2 3m 1 2 1 2,,,1 5 2 1 5 3m 5 2 1 3m 2 5 6m 3m 1 5 2 3m 1 5 2 5 1 2 3m 1 2 1 2
Tell The World,Hillsong United,F#m,A,,6m 4 6m 4,6m 4 6m 4 1 5 6m 4 1 5 6m 4,1 2m 6m 4,,6m 4 6m 4 6m 4 6m 4 1 5 6m 4 1 5 6m 4 1 2m 6m 4
Tell The World,Hillsong United,A,A,,6m 4 6m 4,6m 4 6m 4 1 5 6m 4 1 5 6m 4,1 2m 6m 4,,6m 4 6m 4 6m 4 6m 4 1 5 6m 4 1 5 6m 4 1 2m 6m 4
Tell The World Tha,Hillsong United,Em,G,,,6m 4 1 5 6 4 1 5 1 5 6m 4 1 5 6m 4,1 5 6m 4 1 5 6m 4,,6m 4 1 5 6 4 1 5 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4
Thank You,Hillsong United,C,C,1 1 6m 6m 4 4 1 1,6m 4 1 5 6m 4 5 6m 4 1 5 4 5,6m 4 1 5 6m 4 5 6m 4 1 5 4 5 6m 4 1 5 6m 4 5 6m 4 1 5 4 5 4 5 1 5 6m 4 1 5 6m 4 1 5 6m 4 5 6m 4 6m 4 1 5 6m 4 5 6m 4 1 5 4 5 4 5 1 5 6m 4 1 5 6m 4 1 5 6m 4 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 5 6m 4 5 6m 4 5 6m 4,,,1 1 6m 6m 4 4 1 1 6m 4 1 5 6m 4 5 6m 4 1 5 4 5 6m 4 1 5 6m 4 5 6m 4 1 5 4 5 6m 4 1 5 6m 4 5 6m 4 1 5 4 5 4 5 1 5 6m 4 1 5 6m 4 1 5 6m 4 5 6m 4 6m 4 1 5 6m 4 5 6m 4 1 5 4 5 4 5 1 5 6m 4 1 5 6m 4 1 5 6m 4 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 5 6m 4 5 6m 4 5 6m 4
The Answer,Hillsong United,G,G,1 4,,4 1 6m 5 4 6 1 4 4 1 6m 5 4 6 4 1 6m 5 4 6,6m 1 6m 4 6m 1 5 6,,1 4 4 1 6m 5 4 6 1 4 4 1 6m 5 4 6 4 1 6m 5 4 6 6m 1 6m 4 6m 1 5 6
The Fathers Heart,Hillsong United,E,E,,6m 4 1,6m 4 1 1 4 6m 4 1 6m 4 1,6m 4 1 1 4,,6m 4 1 6m 4 1 1 4 6m 4 1 6m 4 1 6m 4 1 1 4
