title,artist,song_key,display_key,intro,pre_chorus,chorus,bridge,outro,full_progression
Things I Prayed For,Eli Stone,D,D,,,b7 1 2m b7 b7 1 2m 5 b7 b7 1 2m b7 b7 1 2m 5 b7 1 2m b7 4,,,b7 1 2m b7 b7 1 2m 5 b7 b7 1 2m b7 b7 1 2m 5 b7 1 2m b7 4
Stand,Eli,A,A,1 6m 5 4,6m 5 2m 5,6m 5 2m 5 4 5 6m 4 4 5 6m 4 4 5 1 6m 5 4,,,1 6m 5 4 6m 5 2m 5 6m 5 2m 5 4 5 6m 4 4 5 6m 4 4 5 1 6m 5 4
Echo,Elevation Worship feat. Tauren Wells,Bm,D,b6 6m 4 1,b6 6m 4 1 b6 6m 4 4,b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1,,,b6 6m 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1
Echo,Elevation Worship feat. Tauren Wells,D,D,1 b6 6m 4 1,b6 6m 4 1 b6 6m 4 4,b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1,,,1 b6 6m 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 4 b6 6m 4 1 b6 6m 4 1 6m 4 4 1 6m 4 4 1
All Things,Elevation Worship,Gb,Gb,1 5,,5 1 5 1 5 1 5 2 1 2 1 2 1 2 1,1 2 3m 2 1 2 3m 2,,1 5 5 1 5 1 5 1 5 2 1 2 1 2 1 2 1 1 2 3m 2 1 2 3m 2
All Things New,Elevation Worship,Gb,Gb,1 5,,2 1 2 1 2 1 2 1 5 1 5 1 5 1 5,1 2 3m 2 1 2 3m 2,,1 5 2 1 2 1 2 1 2 1 5 1 5 1 5 1 5 1 2 3m 2 1 2 3m 2
Already Won,Elevation Worship,F,F,1 5 6m 4,5 6m 4 5 6m 4,5 6m 4 5 6m 4 1 3m 6m 4 1 3m 6m 4 6m 5 6m 1 2m 1 4,,,1 5 6m 4 5 6m 4 5 6m 4 5 6m 4 5 6m 4 1 3m 6m 4 1 3m 6m 4 6m 5 6m 1 2m 1 4
Awaken,Elevation Worship,Gb,Gb,,,1 2m b7 1 2m b7 1 2m b7 1 2m b7,,,1 2m b7 1 2m b7 1 2m b7 1 2m b7
Be Lifted High,Elevation Worship,E,E,,,#4 b2 b3m 7,b6m 7 #4 b2 b6m 7 #4 b2,,#4 b2 b3m 7 b6m 7 #4 b2 b6m 7 #4 b2
Blessed Assurance,Elevation Worship,C,C,,,1 4 1 6m 4 b6 5 1 4 1 2m 5 4 4 1 4 6m 4 1 4 1 4 1 4 6m 4 1,,,1 4 1 6m 4 b6 5 1 4 1 2m 5 4 4 1 4 6m 4 1 4 1 4 1 4 6m 4 1
Blessed Assurance,Elevation Worship,Eb,Eb,4 1 4 1,,1 4 1 6m 4 5 1 4 1 2m 5 4 1 4 1 4 6m 4 1 4 1 4 1 4 6m 4 1 3 4 1 4 1 4,,,4 1 4 1 1 4 1 6m 4 5 1 4 1 2m 5 4 1 4 1 4 6m 4 1 4 1 4 1 4 6m 4 1 3 4 1 4 1 4
Call Upon The Lord,Elevation Worship,C,C,,,1 5 4 6m 1 4 1 5 4 6m 1 4 1 1 5 4 6m 1 4 1 5 4 6m 1 4 1 6m 4 1,6m 4 1 1 4 1 5 6m 4 1 1 4 1 5,,1 5 4 6m 1 4 1 5 4 6m 1 4 1 1 5 4 6m 1 4 1 5 4 6m 1 4 1 6m 4 1 6m 4 1 1 4 1 5 6m 4 1 1 4 1 5
Call Upon The Lord,Elevation Worship,C,C,,,1 5 4 6m 1 4 1 5 4 6m 1 4 1,6m 4 1 4 1 5 6m 4 1 1 4 1 5,,1 5 4 6m 1 4 1 5 4 6m 1 4 1 6m 4 1 4 1 5 6m 4 1 1 4 1 5
Call Upon The Lordcall,Elevation Worship,C,C,1 4 1,,1 5 4 6m 1 4 1 5 4 6m 1 4 1 6m 4 1 6m 4 1,6m 4 1 1 4 b6 5 6m 4 1 1 4 b6 5,,1 4 1 1 5 4 6m 1 4 1 5 4 6m 1 4 1 6m 4 1 6m 4 1 6m 4 1 1 4 b6 5 6m 4 1 1 4 b6 5
Como En El Cielo (Here As In Heaven),Elevation Worship,G,G,1 5 1 5 1 5 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 3m 2 1 3m 2 2 1 5 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 3m 2 1 3m 2 2 1 3m 2 1 3m 2 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 6m 2 3m 2 1 6m 2 3m 2 1 6m 2 3m 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1,,,,,1 5 1 5 1 5 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 3m 2 1 3m 2 2 1 5 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 3m 2 1 3m 2 2 1 3m 2 1 3m 2 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 2 3m 2 1 6m 2 3m 2 1 6m 2 3m 2 1 6m 2 3m 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1
Dir Gebührt Das Lob,Elevation Worship,C,C,1 3m,,6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5,1 3m 6m 4 1 3m 6m 4 1 3m 6m 4 1 3m 6m 4,,1 3m 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 1 3m 6m 4 1 3m 6m 4 1 3m 6m 4 1 3m 6m 4
Do It Again,Elevation Worship,Bb,Bb,4 1,,4 5 1 4 4 5 1 4 1 3 4 1 4 3 4 1 4 1 3 4 1 4 1 4 1 4 1 4 1 4,4 1 4 5 1 5 1 1 4 1 4 5 1 5 1 1,,4 1 4 5 1 4 4 5 1 4 1 3 4 1 4 3 4 1 4 1 3 4 1 4 1 4 1 4 1 4 1 4 4 1 4 5 1 5 1 1 4 1 4 5 1 5 1 1
Do It Again,Elevation Worship,C,C,1 5 1 5,,1 5 1 1 2 5 1 5 1 5 1,5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5,,1 5 1 5 1 5 1 1 2 5 1 5 1 5 1 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5
Do It Again,Elevation Worship,C,C,1 5 1 5,,,,,1 5 1 5
Do It Again,Elevation Worship,G,G,4 4 1 1,,4 5 1 4 4 5 1 4 1 4 1 4,1 4 1 4 5 1 5 1 1 4 1 4 5 1 5 1,,4 4 1 1 4 5 1 4 4 5 1 4 1 4 1 4 1 4 1 4 5 1 5 1 1 4 1 4 5 1 5 1
Do It Again,Elevation Worship,C,C,1 5 1 5,,1 5 1 1 2 5 1 5 1 5 1 1 5 1 1 2 5 1 1 5 1 1 2 5 1 1 5 1 1 2 5 1 1 5 1 1 2 5 1 5 1 5 1 5 1 5 1 5 1 5 1,5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5,,1 5 1 5 1 5 1 1 2 5 1 5 1 5 1 1 5 1 1 2 5 1 1 5 1 1 2 5 1 1 5 1 1 2 5 1 1 5 1 1 2 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5
Do It Again,Elevation Worship,G,G,4 b7 4 b7,,b7 1 4 4 b7 1 4 4 b7 1 4 4 b7 1 4 4 b7 4 4 4 b7 1 4 4 4 1 4 4 5 1 4 4 1 4 4 5 1 4 1 4 1 4 1 4 1 4 1 4 1 4,1 4 1 4 5 1 5 1 1 4 1 4 5 1 5 1 1 4 1 4 5 1 5 1 1 4 1 4 5 1 5 1 1 4 1 4 5 1 5 1 1 4 1 4 5 1 5 1,,4 b7 4 b7 b7 1 4 4 b7 1 4 4 b7 1 4 4 b7 1 4 4 b7 4 4 4 b7 1 4 4 4 1 4 4 5 1 4 4 1 4 4 5 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 5 1 5 1 1 4 1 4 5 1 5 1 1 4 1 4 5 1 5 1 1 4 1 4 5 1 5 1 1 4 1 4 5 1 5 1 1 4 1 4 5 1 5 1
Do It Again,Elevation Worship,C,C,1 5 1 5,,1 2 5 1 1 2 5 1 5 1 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 5 1 5 1 5 1 5 1 5 1 5 1,5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5,,1 5 1 5 1 2 5 1 1 2 5 1 5 1 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 1 2 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5 5 1 5 1 2 5 2 5
Ever Glorious,Elevation Worship,G,G,1 3m 1 3m 2,,2 1 5 5 2 1 5 5 2 1 5 5 2 1 5 1 3m 1 3m 2,,,1 3m 1 3m 2 2 1 5 5 2 1 5 5 2 1 5 5 2 1 5 1 3m 1 3m 2
Everlasting Father,Elevation Worship,G,G,1 5 3m 1 5 3m 2,,1 5 2 1 5 3m 2 1 5 2 1 5 2 1 5 2,5 2 3m 2 1 5 1 2,,1 5 3m 1 5 3m 2 1 5 2 1 5 3m 2 1 5 2 1 5 2 1 5 2 5 2 3m 2 1 5 1 2
Exalted One,Elevation Worship,A,A,1 6m 4 1 6m 4 1,,4 1 5 6m 4 1 5 4 1 5 6m 4 1 5 4 1 5,4 6m 1 5 4 6m 1 5,,1 6m 4 1 6m 4 1 4 1 5 6m 4 1 5 4 1 5 6m 4 1 5 4 1 5 4 6m 1 5 4 6m 1 5
First And Only,Elevation Worship,A,A,1 5 6m 4,,4 5 4 6m 5 4 5 4 6m 5 4 5 4 6m 5 4 5 4 6m 5 4 5 4 6m 5 4 5 4 6m 5,5 4 1 5 6m 4 1,,1 5 6m 4 4 5 4 6m 5 4 5 4 6m 5 4 5 4 6m 5 4 5 4 6m 5 4 5 4 6m 5 4 5 4 6m 5 5 4 1 5 6m 4 1
For A Moment,Elevation Worship,C,C,1 5 4,,1 5 6m 4 2m 6m b6 5 1 5 6m 4 2m 6m b6 5 1 1 5 4 4 4 1 5,4 4 1 5,,1 5 4 1 5 6m 4 2m 6m b6 5 1 5 6m 4 2m 6m b6 5 1 1 5 4 4 4 1 5 4 4 1 5
For The Honor,Elevation Worship,D,D,,1 5 6m 4 1 5 6m 4,1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4,,,1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4
For The Lamb,Elevation Worship,Bm,D,,,4 1 4 1 4 6m 5 4 1 4 5 6m,1 4 5 6m 1 4 5 1,,4 1 4 1 4 6m 5 4 1 4 5 6m 1 4 5 6m 1 4 5 1
Forever I Run,Elevation Worship,C,C,1 3m 2 2,1 3m 2 1 3m 2,1 3m 2 1 3m 2 1 3m 2 5 1 3m 2 1 3m 2 5 2 3m 2 1 3m 2 2 1 3m 2 1 3m 2 1 3m 2 5 1 3m 2 1 3m 2 5 2 3m 2 1 3m 2 5 1 3m 2 1 3m 2 5 2 3m 2,5 1 2 3m 5 1 2 3m 5 1 2 3m 5 1 2 3m,,1 3m 2 2 1 3m 2 1 3m 2 1 3m 2 1 3m 2 1 3m 2 5 1 3m 2 1 3m 2 5 2 3m 2 1 3m 2 2 1 3m 2 1 3m 2 1 3m 2 5 1 3m 2 1 3m 2 5 2 3m 2 1 3m 2 5 1 3m 2 1 3m 2 5 2 3m 2 5 1 2 3m 5 1 2 3m 5 1 2 3m 5 1 2 3m
Fortress,Elevation Worship,F,F,1 5 3m 2,,3m 1 5 3m 1 5 3 3m 1 5 3m 1 5 3,5 3m 1 5 5 3m 1 5,,1 5 3m 2 3m 1 5 3m 1 5 3 3m 1 5 3m 1 5 3 5 3m 1 5 5 3m 1 5
Fullness,Elevation Worship,C,C,6m 4 1 1 6m 4 1 1,,5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 1 1 1,4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m,,6m 4 1 1 6m 4 1 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 1 1 1 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m
Fullness,Elevation Worship,Am,C,6m 4 1 1 6m 4 1 1,,5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1,4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m,,6m 4 1 1 6m 4 1 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m
Fullness,Elevation Worship,C,C,,,5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 1 1 1,4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m,,5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 6m 5 1 4 6m 5 1 4 1 5 1 4 6m 5 1 4 1 1 1 1 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m 4 6m 5 2m
Give Me Faith,Elevation Worship,D,D,1 5 2 3m 5 2 3m 1 5 2 3m 1,5 1 2 5 1 2,5 1 2 5 1 2 1 5 2 3m 1 5 3m 2 6m 1 5 2 1 2,1 5 2 3m 1 5 3m 2,,1 5 2 3m 5 2 3m 1 5 2 3m 1 5 1 2 5 1 2 5 1 2 5 1 2 1 5 2 3m 1 5 3m 2 6m 1 5 2 1 2 1 5 2 3m 1 5 3m 2
Give Me Faith,Elevation Worship,D,D,1 5 2 3m 5 2 3m 1 5 2 3m 1,5 1 2 5 1 2,5 1 2 5 1 2 1 5 2 3m 1 5 3m 2 6m 1 5 2 1 2,1 5 2 3m 1 5 3m 2,,1 5 2 3m 5 2 3m 1 5 2 3m 1 5 1 2 5 1 2 5 1 2 5 1 2 1 5 2 3m 1 5 3m 2 6m 1 5 2 1 2 1 5 2 3m 1 5 3m 2
Give My Life To You,Elevation Worship,F,F,,,1 2 3m 5 1 2 3m 1,1 2 3m 5 1 2 3m 1 2 3m 5 1 2 3m 1,,1 2 3m 5 1 2 3m 1 1 2 3m 5 1 2 3m 1 2 3m 5 1 2 3m 1
Glory Is Yours,Elevation Worship,G,G,1 3 4 1 3 2m 1 3 1 3 4 1 3 2m 1,,1 1 1 1 4,6m 5 1,,1 3 4 1 3 2m 1 3 1 3 4 1 3 2m 1 1 1 1 1 4 6m 5 1
God Be Praised,Elevation Worship,G,G,1 3m 5 2,,1 3m 5 2 1 3m 5 2 1 3m 5 2 1 2,3m 2 5 1 3m 2 5 1 3m 2 5 1 3m 2 5 1,,1 3m 5 2 1 3m 5 2 1 3m 5 2 1 3m 5 2 1 2 3m 2 5 1 3m 2 5 1 3m 2 5 1 3m 2 5 1
God Who Answers Prayer,Elevation Worship,A,A,1 4 2m 5 3 4 5 1 6 4 5 6 4 2,6m 4 2m 4 5,6m 4 2m 4 5 1 4 3m 4 5 6m 4 2m 5 4 5 1 6m 4 2m 4 5 1 4 3m 4 5 6m 4 2m 5 4 5 1 1 4 3m 4 5 6m 4 2m 5,1 4 1 5 4 1 5 4 1 5 4 1 5 4 1 5,,1 4 2m 5 3 4 5 1 6 4 5 6 4 2 6m 4 2m 4 5 6m 4 2m 4 5 1 4 3m 4 5 6m 4 2m 5 4 5 1 6m 4 2m 4 5 1 4 3m 4 5 6m 4 2m 5 4 5 1 1 4 3m 4 5 6m 4 2m 5 1 4 1 5 4 1 5 4 1 5 4 1 5 4 1 5
Grace Like A Wave,Elevation Worship,Gb,Gb,1 2 5 1 1 2 5 1,,1 2 3m 5 1 1 2 3m 5 1 1 2 3m 5 1 1 1 2 3m 5 1 1 2 3m 5 1 1 2 3m 5 1 1 2 3m 5 1,1 2 3m 1 2 5 1 2 3m 1 2 5 1 2 3m 1 2 5 1,,1 2 5 1 1 2 5 1 1 2 3m 5 1 1 2 3m 5 1 1 2 3m 5 1 1 1 2 3m 5 1 1 2 3m 5 1 1 2 3m 5 1 1 2 3m 5 1 1 2 3m 1 2 5 1 2 3m 1 2 5 1 2 3m 1 2 5 1
Grace So Glorious,Elevation Worship,F,F,1 3m 5 2 1 3m 2,2 2 5 1 5 2 3m 2 1 2 2 5 1 5 2,2 2 5 1 5 2 3m 2 1 2 2 5 1 5 2 5 1 3m 2 5 1 3m 2,,,1 3m 5 2 1 3m 2 2 2 5 1 5 2 3m 2 1 2 2 5 1 5 2 2 2 5 1 5 2 3m 2 1 2 2 5 1 5 2 5 1 3m 2 5 1 3m 2
Grace So Glorious,Elevation Worship,C,C,4 6m 1 5 4 6m 5,5 5 1 4 1 5 6m 5 4 5 5 1 4 1 5,5 5 1 4 1 5 6m 5 4 5 5 1 4 1 5 1 4 6m 5 1 4 6m 5,,,4 6m 1 5 4 6m 5 5 5 1 4 1 5 6m 5 4 5 5 1 4 1 5 5 5 1 4 1 5 6m 5 4 5 5 1 4 1 5 1 4 6m 5 1 4 6m 5
Grateful,Elevation Worship,G,G,1 4 1 6m 4,,1 2m 4 6m 6m 5 4,6m 5 1 4 6m 5 1 4,,1 4 1 6m 4 1 2m 4 6m 6m 5 4 6m 5 1 4 6m 5 1 4
Grateful,Elevation Worship,G,G,1 4 1 6m 5 4,,1 2m 1 6m 6m 5 4,6m 5 1 4 6m 5 1 4,,1 4 1 6m 5 4 1 2m 1 6m 6m 5 4 6m 5 1 4 6m 5 1 4
Graves into Gardens,Elevation Worship,B,B,1 4 1,,1 6m 4 1,1 4 1 4 1 6m 4 1 1 4 1 4 1 6m 4 1 6m 4 1,,1 4 1 1 6m 4 1 1 4 1 4 1 6m 4 1 1 4 1 4 1 6m 4 1 6m 4 1
Graves into Gardens,Elevation Worship,B,B,,,1 6m 4 1,1 4 1 4 6m 4 1 1 4 1 4 6m 4 1 6m 4 1,,1 6m 4 1 1 4 1 4 6m 4 1 1 4 1 4 6m 4 1 6m 4 1
Great And Mighty King,Elevation Worship,G,G,1 3m 5 1 3m 5 1 3m 5 2,,1 5 2 1 5 2 1 5 2 1 5 2 1 3m 5 1 3m 5 2,5 1 5 2 5 1 5 2 3m 1 5 2 3m 1 5 2 3m 1 5 2,,1 3m 5 1 3m 5 1 3m 5 2 1 5 2 1 5 2 1 5 2 1 5 2 1 3m 5 1 3m 5 2 5 1 5 2 5 1 5 2 3m 1 5 2 3m 1 5 2 3m 1 5 2
Great In Us,Elevation Worship,D,D,1 4 1 4 1 6m 4,4 5 6m 5 4 5 4,4 5 6m 5 4 5 4 1 4 6m 4 1 4 6m 4 1 4 6m 4 1 4 6m 4,6m 1 4 5 1 5 5 6m 1 4 5 1 5,,1 4 1 4 1 6m 4 4 5 6m 5 4 5 4 4 5 6m 5 4 5 4 1 4 6m 4 1 4 6m 4 1 4 6m 4 1 4 6m 4 6m 1 4 5 1 5 5 6m 1 4 5 1 5
Great Things (Worth It All),Elevation Worship,D,D,1,2m 6m 5 1 4,2m 6m 5 1 4 1 6m 4 1,6m 5 1 4 5 6m 5 1 4 5,,1 2m 6m 5 1 4 2m 6m 5 1 4 1 6m 4 1 6m 5 1 4 5 6m 5 1 4 5
Great Things (Worth It All),Elevation Worship,D,D,1,2m 6m 5 1 4,2m 6m 5 1 4 1 6m 4 1 2m 6m 5 1 4 1 6m 4 1,6m 5 4 5 6m 5 4 5,,1 2m 6m 5 1 4 2m 6m 5 1 4 1 6m 4 1 2m 6m 5 1 4 1 6m 4 1 6m 5 4 5 6m 5 4 5
Great Things Worth It All,Elevation Worship,G,G,,2m 6m 5 1 4,2m 6m 5 1 4 1 6m 4 1 2m 6m 5 1 4 1 6m 4 1,6m 5 4 5 6m 5 4 5,,2m 6m 5 1 4 2m 6m 5 1 4 1 6m 4 1 2m 6m 5 1 4 1 6m 4 1 6m 5 4 5 6m 5 4 5
Greater,Elevation Worship,A,A,,,1 4 6m 5 4 1 4 6m 5 4 1 5 6m 4 1 5,4 1 5 4 1 5,,1 4 6m 5 4 1 4 6m 5 4 1 5 6m 4 1 5 4 1 5 4 1 5
Halelujah Here Below,Elevation Worship,Bm,D,,,1 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5,1 5 6m 4 5 1 1 5 6m 4 5 1 1 5 6m 4 5 1,,1 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5 1 5 6m 4 5 1 1 5 6m 4 5 1 1 5 6m 4 5 1
Hallelujah Here Below,Elevation Worship,Am,C,,,3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5,1 5 6m 4 5 1 1 5 6m 4 5 1 1 5 6m 4 5 1,,3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 1 5 6m 4 5 1 1 5 6m 4 5 1 1 5 6m 4 5 1
Hallelujah Here Below,Elevation Worship,D,D,6m 4 1 6m 4 1,,1 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5,1 2m 1 6m 5 4 1 2m 1 6m 5 1 1 2m 1 6m 5 4 1 2m 1 6m 5 1,,6m 4 1 6m 4 1 1 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5 1 4 1 5 1 4 6m 5 4 1 5 1 4 6m 5 1 2m 1 6m 5 4 1 2m 1 6m 5 1 1 2m 1 6m 5 4 1 2m 1 6m 5 1
Hallelujah Here Below,Elevation Worship,C,C,,,3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5,1 5 6m 4 5 1 1 5 6m 4 5 1 1 5 6m 4 5 1,,3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 3m 4 1 5 1 4 6m 5 1 5 6m 4 5 1 1 5 6m 4 5 1 1 5 6m 4 5 1
He Is Lord,Elevation Worship,G,G,1 6m 4 1 6m 4 1 6m 4 1 6m 4,,1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 5 5 1 4,4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 4,,1 6m 4 1 6m 4 1 6m 4 1 6m 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 5 5 1 4 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 1 4 1 5 4
Here Again,Elevation Worship,D,D,5 6m 4,,1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4,1 5 6m 5 4 1 5 6m 5 4 1 5 6m 5 4 1 1 5 6m 5 4 1 5 6m 5 4 1 5 6m 5 4 1 5 6m 5 4 1 5 6m 5 4 1 1 5 6m 5 4,,5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 4 1 5 6m 5 4 1 5 6m 5 4 1 5 6m 5 4 1 1 5 6m 5 4 1 5 6m 5 4 1 5 6m 5 4 1 5 6m 5 4 1 5 6m 5 4 1 1 5 6m 5 4
