Song Title,Artist,Song Key,Intro,Pre-Chorus,Chorus,Bridge,Outro
Here In Your Presence,Elevation Worship,Gb,B Gb E B Abm F#       ,,Gb E B Abm Gb Gb E B Abm Gb Gb E B Abm Gb Gb E B Abm Gb Gb E B Abm Gb Gb E B Abm Gb                               ,B Gb Abm Gb E Gb B Gb Abm Gb E Gb B Gb Abm Gb E Gb B Gb Abm Gb E Gb B Gb Abm Gb E Gb B Gb Abm Gb E Gb B Gb Abm Gb E Gb B Gb Abm Gb E Gb  B Gb Abm Gb E Gb B Gb Abm Gb E Gb B          ,
Hold On To Me,Elevation Worship,G,G       ,,D/F# G Bm D/F# G A D/F# G Bm D/F# G A G G D/F# G Bm D/F# G A D/F# G Bm D/F# G A G Bm D A G Bm D A D/F# G Bm D/F# G A D/F# G Bm D/F# G A D/F# G Bm D/F# G A D/F# G Bm D/F# G A D/F# G A D/F# G A G G                              ,G Bm D A G Bm D A            ,
HOLD ONTO ME,Elevation Worship,F,Bb       ,,F/A Bb C Dm F/A Bb Csus C F/A Bb C Dm F/A Bb Csus C Bb Bb Dm F C                               ,Bb Dm F C Bb Dm F C Bb)            ,
Holy Is The One,Elevation Worship,G,       ,,G Am C G Am Em D G Am C G Am Em D G Em                                ,Em C G Gsus G Em C G D            ,
I Cant Believe,Elevation Worship,Am,Am G C Am G C Am G C Am G C       ,,C Am G Am F C Am G Am F Am G C C Am G Am F C Am G Am F G F G F C Am G Am F C Am G Am F C C Am G Am F C Am G Am F                              ,G C F Am G C F C G C F Am G C F C G C F Am G C F C G C F Am G C F C           ,
I Have Decided,Elevation Worship,F,F G Am G       ,,F C Am G F C Am G F                                ,F C Am G F C Am G F C Am G F C Am G            ,
I Have Decided To Follow Jesus,Elevation Worship,G,G D/A G/B A/C#       ,,                                ,G D/A G/B A/C# G D/A G/B A/C# G D/A G/B A/C# G D/A G/B A/C#            ,
I Love You Lord,Elevation Worship,E,       ,,C C/E F C/G F Am F C/E F                               ,Dm C G Dm C G Dm C G F C G E            ,
I Will Look Up,Elevation Worship,D,Csus2 D Em7 G       ,, G Em7 Csus2 D Csus2 D G Em7 Csus2 D Csus2 D G Em7 Csus2 D Csus2 D   Csus2 D Csus2 D                           ,D Em7 G Csus2 D Em7 G Csus2 D Em7 G Csus2 D Em7 G Csus2            ,
I Will Sing,Elevation Worship,F,       ,,F Bb Dm Bb C F Bb Dm Bb C Bb F                                ,Bb F C Bb F C            ,
I Will Trust In You,Elevation Worship,C,C Am F       ,,F Am G F Am G F Am G C F Am G F Am G                                ,C Am F C Am F            ,
In Your Presence,Elevation Worship,C,C       ,G Am F G Am F,G Am F G Am F C G Am G Em F C G Am G Em F F C F/A C/G F C C F F C F/A C/G F C C F                              ,Am G/B C Dm Am G/B C Dm            ,
Jesus Forever,Elevation Worship,G,       ,,C Em D C Em D C Em D C Em D                                ,C G Em D C G Em D C G Em D C G Em D C G Em D C G Em D C G Em D C G Em D            ,
Jesus I Come,Elevation Worship,G,G Bm D A       ,,G Bm D/F# A G Bm D/F# A G                               ,D A Em Bm G D D A Em Bm G A D            ,
Jesus I Come,Elevation Worship,D,G Bm D A G Bm D A       ,,G Bm D/F# A G Bm D/F# A G Bm D/F# A G Bm D/F# A G Bm D/F# A G Bm D/F# A G G Bm D/F# A G Bm D/F# A G Bm D/F# A G Bm D/F# A                              ,D A Em Bm G D D A Em Bm G A D D A Em Bm G D D A Em Bm G A D D A Em Bm G D D A Em Bm G A D D A Em Bm G D D A Em Bm G A D            ,
Kingdom Come,Elevation Worship,A,A       ,D A/C# E D A/C# E,D A/C# E D A/C# E A E D A E D F#m                               ,A D/F# A/E D            ,
Last Word,Elevation Worship,F,F/A G/B C/G       ,,C F C F Am F C                                ,Am F C G Am F C G Am F C G Am F C G            ,
Let Go,Elevation Worship,D,D F#m A       ,,D F#m A D F#m A D A F#m E D E                                ,D            ,
