Track name,Artist name,Album,Playlist name,Type,ISRC
"Chris Tomlin - Made To Worship","","","Worship","Playlist",""
"one sonic society - Majesty","","","Worship","Playlist",""
"one sonic society - Jesus, Son of God (Live)","","","Worship","Playlist",""
"Michael Gungor - Meet With Me","","","Worship","Playlist",""
"Charlie Hall - Marvelous Light","","","Worship","Playlist",""
"Hillsong UNITED - More than Life (Live)","","","Worship","Playlist",""
"Vineyard Worship - Surrender","","","Worship","Playlist",""
"Hillsong UNITED - My Future Decided","","","Worship","Playlist",""
"Fearless BND - My Glorious","","","Worship","Playlist",""
"Rick Pino · Kari Jobe - My Romance (Live)","","","Worship","Playlist",""
"Aaron Shust - My Savior My God","","","Worship","Playlist",""
"Passion · Chris Tomlin - The Noise We Make (Live)","","","Worship","Playlist",""
"Hillsong UNITED · Brooke Ligertwood - None but Jesus (Live)","","","Worship","Playlist",""
"David Crowder Band - No One Like You","","","Worship","Playlist",""
"Christ For The Nations Worship · Kari Jobe - No Sweeter Name (Live)","","","Worship","Playlist",""
"Shane Barnard · Bob Fitts · Shane Barnard - Oh Lord to You (Live)","","","Worship","Playlist",""
"Brian Johnson · Christa Black Gifford · Jeremy Riddle - One Thing Remains","","","Worship","Playlist",""
"Hillsong UNITED - One Way (Live)","","","Worship","Playlist",""
"David Crowder Band - Only You","","","Worship","Playlist",""
"Passion · Chris Tomlin - Our God (Live)","","","Worship","Playlist",""
"Seventh Day Slumber · Reuben Morgan · Ben Fielding - God Is Able","","","Worship","Playlist",""
"Seventh Day Slumber · Joel Houston - Your Name High","","","Worship","Playlist",""
"Jeremy Camp - You Never Let Go","","","Worship","Playlist",""
"Roy Fields - Rain Down (Live)","","","Worship","Playlist",""
"Desperation Band - Refuse to Be Denied","","","Worship","Playlist",""
"Michael Gungor - Rescue","","","Worship","Playlist",""
"Kari Jobe - Revelation Song","","","Worship","Playlist",""
"Enter The Worship Circle · 100 Portraits · Waterdeep · Robin Pasley · Ben Pasley - Save Me (Psalm 69) (Remastered 2017)","","","Worship","Playlist",""
"Phil Wickham - Shining","","","Worship","Playlist",""
"Tim Hughes · Soul Survivor - See His Love (feat. Tim Hughes) (Live)","","","Worship","Playlist",""
"Hillsong UNITED - Shout Unto God (Live)","","","Worship","Playlist",""
"Hillsong UNITED - Solution","","","Worship","Playlist",""
"Hillsong UNITED - The Stand (Live)","","","Worship","Playlist",""
"Hillsong UNITED - Take It All (Live)","","","Worship","Playlist",""
"Hillsong UNITED - Till I See You (Live)","","","Worship","Playlist",""
"Hillsong UNITED · Reuben Morgan - To the Ends of the Earth (Live)","","","Worship","Playlist",""
"John Connor - We Are Hungry","","","Worship","Playlist",""
"Hillsong UNITED - What The World Will Never Take (Live)","","","Worship","Playlist",""
"Skillet - Who is Like Our God (Live)","","","Worship","Playlist",""
"Justin Johnston - Whom Shall I Fear","","","Worship","Playlist",""
"Jonah33 - Working Man Hands","","","Worship","Playlist",""
"William McDowell - Closer/Wrap Me In Your Arms (Live)","","","Worship","Playlist",""
"Michael Gungor - Wrap Me In Your Arms","","","Worship","Playlist",""
"Michael Gungor - You Are Good","","","Worship","Playlist",""
"Planetshakers - You Are Holy","","","Worship","Playlist",""
"Skillet - You Are My Hope","","","Worship","Playlist",""
"The Almost - Your Love Is Extravagant","","","Worship","Playlist",""
"The Almost - Amazing, Because It Is","","","Worship","Playlist",""
"Christ For The Nations Worship · Keith Hulen - I Love The Lord (Live)","","","Worship","Playlist",""
"Christ For The Nations Worship - Jesus Is Alive (Live)","","","Worship","Playlist",""
"Christ For The Nations Worship · Jonathan Lewis - Glorify Our King (Live)","","","Worship","Playlist",""
"Christ For The Nations Worship · Jessica Freeman - Blessed Is the One (Live)","","","Worship","Playlist",""
"Third Day - Show Me Your Glory","","","Worship","Playlist",""
"Jeremy Camp - You're Worthy Of My Praise","","","Worship","Playlist",""
"Hillsong Worship · Joel Houston - You Are Here (The Same Power)","","","Worship","Playlist",""
"Desperation Band - I'm Coming Your Way","","","Worship","Playlist",""
"Casting Crowns - Your Love Is Extravagant","","","Worship","Playlist",""
"East Coast Christian Center - He Is Faithful (Live)","","","Worship","Playlist",""
"Jeremy Riddle - One Thirst and Hunger","","","Worship","Playlist",""
"Passion · Kristian Stanfill - Jesus Paid It All","","","Worship","Playlist",""
"Passion · Chris Tomlin · Christy Nockels - Where The Spirit Of The Lord Is (Live)","","","Worship","Playlist",""
"Elevation Worship - All Things New","","","Worship","Playlist",""
"All Sons & Daughters - All the Poor and Powerless","","","Worship","Playlist",""
"All Sons & Daughters - Oh How I Need You","","","Worship","Playlist",""
"All Sons & Daughters - Brokenness Aside","","","Worship","Playlist",""
"All Sons & Daughters - Called Me Higher","","","Worship","Playlist",""
"Jason Morant - Bless The Lord","","","Worship","Playlist",""
"Fearless BND - Risen From The Grave","","","Worship","Playlist",""
"Fee - We Crown You","","","Worship","Playlist",""
"Awaken Worship - Overwhelmed (Live)","","","Worship","Playlist",""
"BJ Putnam - Glorious (Live)","","","Worship","Playlist",""
"Israel & New Breed - Again I Say Rejoice","","","Worship","Playlist",""
"Oceans Above - Rain Down","","","Worship","Playlist",""
"Citizens · Chris Tomlin · Louie Giglio · Zach Bolen - Amazing Grace","","","Worship","Playlist",""
"Hillsong Worship · Matt Crocker - I Surrender (Live)","","","Worship","Playlist",""
"Freddy Rodriguez · Integrity's Hosanna! Music - I Will Run (Live)","","","Worship","Playlist",""
"Freddy Rodriguez · Integrity's Hosanna! Music - No Other Name (Live)","","","Worship","Playlist",""
"Citizens · Brian Eichelberger · Zach Bolen - Made Alive","","","Worship","Playlist",""
"Israel & New Breed - To Worship You I Live","","","Worship","Playlist",""
"Jared Anderson - Hear Us from Heaven","","","Worship","Playlist",""
"Bethel Music · Steffany Frizzell Gretzinger - Closer","","","Worship","Playlist",""
"Bethel Music · Jeremy Riddle · Seffany Frizzell Gretzinger - One Thirst","","","Worship","Playlist",""
"Israel & New Breed - Say So (Live)","","","Worship","Playlist",""
"United Pursuit · Will Reagan - Fill Me Up (feat. Will Reagan)","","","Worship","Playlist",""
"Bethel Music & Brian Johnson - My Soul Sings","","","Worship","Playlist",""
"Rush Worship - You Won't Relent/All Consuming Fire","","","Worship","Playlist",""
"Misty Edwards - Baptize My Heart (Live)","","","Worship","Playlist",""
"Misty Edwards - Pour My Love on You (Live)","","","Worship","Playlist",""
"United Pursuit · Brock Human - Let Me In (feat. Brock Human)","","","Worship","Playlist",""
"Forerunner Music · Cory Asbury - Holy Ghost Party (Live)","","","Worship","Playlist",""
"Darlene Zschech - Victor's Crown (Live)","","","Worship","Playlist",""
"BJ Putnam - Sing A New Song (Live)","","","Worship","Playlist",""
"Worship Central · Luke Hellebronth - Spirit Break Out (Live)","","","Worship","Playlist",""
"Fee - All Because of Jesus","","","Worship","Playlist",""
"Bethel Music & William Matthews - Freedom","","","Worship","Playlist",""
"Fearless BND - Higher","","","Worship","Playlist",""
"Hillsong Worship · David Ware - Cornerstone (Live)","","","Worship","Playlist",""
"Elevation Worship - Give My Life To You","","","Worship","Playlist",""
"New Life Worship · Integrity's Hosanna! Music - God Be Praised / Our God Reigns (Medley) (Live)","","","Worship","Playlist",""
"Hillsong Worship - Always Will (Live)","","","Worship","Playlist",""
"Hillsong Worship - Christ Is Enough (Live)","","","Worship","Playlist",""
"Hillsong Worship - Where The Spirit of the Lord Is (Live)","","","Worship","Playlist",""
"Hillsong Worship - Closer (Live)","","","Worship","Playlist",""
"Matt Redman - We Are the Free","","","Worship","Playlist",""
"BJ Putnam - More And More (Live)","","","Worship","Playlist",""
"BJ Putnam - Here For You (Live)","","","Worship","Playlist",""
"Hillsong Worship · Brooke Ligertwood - I Will Exalt You (Live)","","","Worship","Playlist",""
"Israel & New Breed · Onaje Jefferson - More And More (Live)","","","Worship","Playlist",""
"Jonathan David & Melissa Helser - You're Never Giving Up","","","Worship","Playlist",""
"The Royal Royal - How Wonderful","","","Worship","Playlist",""
"Rick Pino - We Prepare The Way (Live)","","","Worship","Playlist",""
"Planetshakers - Open Up The Gates","","","Worship","Playlist",""
"Matt Gilman - Holy","","","Worship","Playlist",""
"Justin Rizzo - Found Faithful","","","Worship","Playlist",""
"Luke Wood · Onething Live - Set Your Seal Upon My Heart (Live)","","","Worship","Playlist",""
"Cory Asbury - Never Gonna Leave Me Dry (Live)","","","Worship","Playlist",""
"Jeremy Riddle - Acquitted","","","Worship","Playlist",""
"Chris Tomlin - Whom Shall I Fear (God Of Angel Armies)","","","Worship","Playlist",""
"Chris Tomlin - Exalted (Yahweh)","","","Worship","Playlist",""
"Covenant Worship, David & Nicole Binion - Never Going Back","","","Worship","Playlist",""
"Covenant Worship, David & Nicole Binion - Nobody Like You","","","Worship","Playlist",""
"Andrew Ehrenzeller - Which Way","","","Worship","Playlist",""
"Danielle Munizzi - Your Love Oh God","","","Worship","Playlist",""
"Soul Survivor - You're Beautiful","","","Worship","Playlist",""
"Jeff Deyo · Anadara - The Bread Has Been Broken","","","Worship","Playlist",""
"Umobile Worship - Holy (Wedding Song) (Live)","","","Worship","Playlist",""
"Bethel Music · William Matthews - Hope's Anthem","","","Worship","Playlist",""
"Israel & New Breed · Onaje Jefferson - More And More (Live)","","","Worship","Playlist",""
"Israel Houghton - Hosanna (Be Lifted Higher)","","","Worship","Playlist",""
"Bethel Music & Jeremy Riddle - Furious","","","Worship","Playlist",""
"Vertical Worship · Meredith Andrews - God You Are My God (feat. Meredith Andrews) (Live)","","","Worship","Playlist",""
"Vertical Worship · Andi Rozier - Word of God (feat. Andi Rozier) (Live)","","","Worship","Playlist",""
"Vertical Worship · Heather Headley - All Glory (feat. Heather Headley) (Live)","","","Worship","Playlist",""
"Worship Central · Ben Cantelon - Hallelujah (Live)","","","Worship","Playlist",""
"Planetshakers - The Anthem (Full Song)","","","Worship","Playlist",""
"Elevation Worship - For The Honor","","","Worship","Playlist",""
"United Pursuit · Will Reagan - Running In Circles (feat. Will Reagan)","","","Worship","Playlist",""
"Will Reagan - My Delight","","","Worship","Playlist",""
"Gateway Worship · Kari Jobe - O, the Blood (feat. Kari Jobe) (Live)","","","Worship","Playlist",""
"Gateway Worship - Stay Amazed [Live]","","","Worship","Playlist",""
"Brad & Rebekah - Praise to the One","","","Worship","Playlist",""
"Jonathan David Helser · Melissa Helser - Empty My Soul","","","Worship","Playlist",""
"Jonathan David & Melissa Helser - On the Shores (Extended Version)","","","Worship","Playlist",""
"Jonathan David & Melissa Helser - Wrecking Ball (Extended Version)","","","Worship","Playlist",""
"Jonathan David & Melissa Helser - Just One (Extended Version)","","","Worship","Playlist",""
"The Classic City Collective - No Greater Love","","","Worship","Playlist",""
"All Sons & Daughters · David Leonard - Great Are You Lord (Live)","","","Worship","Playlist",""
"Antioch Music - The One We Want","","","Worship","Playlist",""
"Sojourn - All I Have Is Yours","","","Worship","Playlist",""
"Sagu Worship - In All the Earth (Reprise)","","","Worship","Playlist",""
"Sovereign Grace Music - Alive","","","Worship","Playlist",""
"Misty Edwards - All I Know (Live)","","","Worship","Playlist",""
"Misty Edwards - Dove's Eyes","","","Worship","Playlist",""
"Elevation Worship - Lift Us Out","","","Worship","Playlist",""
"Desperation Band - All to Him","","","Worship","Playlist",""
"Skull Church - All My Heart","","","Worship","Playlist",""
"Gateway Worship - How to Worship a King [Live]","","","Worship","Playlist",""
"Elevation Worship - Open Up Our Eyes (Live)","","","Worship","Playlist",""
"Gateway Worship · Thomas Miller · Kari Jobe - Running","","","Worship","Playlist",""
"Vicky Beeching - Glory to God Forever","","","Worship","Playlist",""
"Desperation Band - Light Up the World","","","Worship","Playlist",""
"Gateway Worship · Ryan Edgar · Meg Everheart - You're Worth It All","","","Worship","Playlist",""
"Gateway Worship - I Hear the Lord Passing By","","","Worship","Playlist",""
"Desperation Band - Magnified","","","Worship","Playlist",""
"Gateway Worship · Kari Jobe - You Are for Me (feat. Kari Jobe) (Live)","","","Worship","Playlist",""
"Elevation Worship - I Have Decided (Live)","","","Worship","Playlist",""
"The Harvest · Tracy Minor - Lover of Your Presence (Live)","","","Worship","Playlist",""
"Hillsong Worship - Man of Sorrows (Live)","","","Worship","Playlist",""
"Cultivation Generation · Jesse Meyer · Stephen Lampert · The Neverclaim · Vineyard Worship - Nothing Else","","","Worship","Playlist",""
"Fike - Chosen","","","Worship","Playlist",""
"Zac Hicks + Cherry Creek Worship - Firm and Unmoved Are They (Psalm 125) (feat. Hollis Moore)","","","Worship","Playlist",""
"Marie Barnett - Oh Lovely One","","","Worship","Playlist",""
"Free Chapel · Israel Houghton · Rory Comtois - At the Cross (Live)","","","Worship","Playlist",""
"Kristian Stanfill - Lord Almighty","","","Worship","Playlist",""
"Misty Edwards - Arms Wide Open (Live)","","","Worship","Playlist",""
"Elevation Worship - Let Go (Live)","","","Worship","Playlist",""
"Hillsong UNITED - Go","","","Worship","Playlist",""
"Hillsong UNITED - Go (Live)","","","Worship","Playlist",""
"Foursquare United Generation - Holy","","","Worship","Playlist",""
