id,song_id,source_type,source_url,external_source_id,license_notes,fetched_at,raw_payload_path,confidence,created_at
952,885,merged_csv_import,,147948,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:03
953,885,merged_csv_import,,123700,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:03
954,885,merged_csv_import,,565128,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:03
958,889,merged_csv_import,,7719,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:03
1019,944,merged_csv_import,,8113,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:04
1020,945,merged_csv_import,,8114,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:04
1021,946,merged_csv_import,,8115,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:04
1022,947,merged_csv_import,,8117,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:04
1023,948,merged_csv_import,,8118,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:04
1024,949,merged_csv_import,,8120,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:04
1026,951,merged_csv_import,,8123,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:04
1044,968,merged_csv_import,,8322,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:04
1069,991,merged_csv_import,,8457,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:04
1081,1002,merged_csv_import,,8506,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:04
1100,1021,merged_csv_import,,8681,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:04
1156,1074,merged_csv_import,,9070,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:05
1195,1112,merged_csv_import,,34342,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:05
1196,1112,merged_csv_import,,9364,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:05
1197,1112,merged_csv_import,,294531,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:05
1198,1112,merged_csv_import,,37262,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:05
1199,1112,merged_csv_import,,290385,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:05
1200,1112,merged_csv_import,,224223,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:05
1201,1112,merged_csv_import,,211643,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:05
1202,1112,merged_csv_import,,278336,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:05
1203,1112,merged_csv_import,,330204,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:05
1204,1112,merged_csv_import,,410746,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:05
1205,1112,merged_csv_import,,441518,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:05
1206,1112,merged_csv_import,,375739,,,C:\Users\littl\Documents\Codex Projects\worship-song-finder\data\processed\merged_spotify_chords.csv,,2026-04-01 00:18:05
