song_id,popularity,danceability,energy,spotify_key,loudness,spotify_mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2065,31,0.385,0.861,7,-4.97,1,0.0451,0.0379,0.0,0.225,0.616,159.906,233080,4
2066,23,0.583,0.149,0,-11.409,1,0.0273,0.917,0.000359,0.108,0.233,85.986,248133,4
2107,50,0.435,0.322,11,-8.871,1,0.029,0.586,0.0,0.121,0.281,137.8,193040,4
2114,36,0.669,0.487,0,-9.86,1,0.0495,0.436,0.000142,0.0641,0.527,151.937,232483,4
2152,14,0.434,0.468,4,-11.567,0,0.0257,0.695,0.00586,0.118,0.534,85.959,211588,4
2161,24,0.761,0.192,0,-10.445,1,0.0305,0.765,0.0,0.11,0.437,105.982,164000,4
2162,40,0.447,0.924,9,-7.164,1,0.083,0.00139,0.0,0.972,0.272,142.03,382573,4
2173,32,0.488,0.46,10,-6.497,1,0.0265,0.204,0.0,0.165,0.225,114.065,303133,4
2178,20,0.247,0.269,11,-10.776,1,0.0361,0.905,0.013,0.139,0.0889,140.445,254862,3
2180,34,0.649,0.936,5,-4.131,0,0.0432,0.00849,9.56e-06,0.153,0.692,130.943,176933,4
2223,36,0.565,0.815,11,-4.281,1,0.0339,0.0495,3.03e-06,0.177,0.274,114.038,216610,4
2237,47,0.433,0.542,11,-5.589,1,0.0264,0.157,6.56e-05,0.12,0.158,83.938,278013,4
2238,14,0.492,0.771,4,-5.578,1,0.04,0.00249,0.0,0.136,0.362,109.975,232615,4
2249,30,0.409,0.871,2,-4.455,1,0.0883,0.00131,1.87e-05,0.231,0.55,188.985,228413,4
2272,41,0.469,0.977,1,-3.535,1,0.0506,1.08e-05,0.0,0.591,0.333,95.009,172733,4
2323,12,0.39,0.31,9,-12.164,1,0.0287,0.802,0.000226,0.191,0.295,145.975,149920,3
2332,9,0.469,0.54,9,-7.731,0,0.043,0.0389,0.0096,0.372,0.0499,119.984,476267,4
2334,36,0.541,0.716,1,-6.999,1,0.028,0.00168,0.000844,0.203,0.324,142.136,331600,4
2343,43,0.332,0.579,9,-8.339,0,0.0455,0.00201,2.12e-06,0.2,0.249,149.98,322804,4
2345,37,0.457,0.648,5,-6.886,0,0.0369,0.25,0.0,0.682,0.132,82.927,378173,4
2349,13,0.629,0.166,0,-14.328,1,0.0297,0.91,6.71e-05,0.0895,0.313,88.482,204293,3
2357,65,0.746,0.608,9,-6.843,0,0.0938,0.0571,0.0,0.224,0.262,81.058,249259,4
2414,54,0.531,0.622,7,-4.737,1,0.0424,0.0607,0.0,0.131,0.263,145.951,192862,4
2452,45,0.583,0.707,0,-5.739,1,0.0403,0.0399,9.87e-06,0.106,0.569,116.016,187707,4
2473,79,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.179,0.464,147.997,212120,4
2520,62,0.412,0.61,10,-7.988,1,0.0379,0.177,0.000102,0.0851,0.242,148.005,373691,4
2553,38,0.624,0.124,5,-11.191,1,0.028,0.917,0.0,0.12,0.206,78.014,351236,4
2562,43,0.393,0.678,7,-5.563,1,0.0431,0.0221,0.0,0.0909,0.221,124.72,195969,4
2584,37,0.509,0.2,2,-13.489,1,0.0337,0.83,5.53e-06,0.0631,0.107,129.574,273148,4
2585,37,0.402,0.263,2,-12.643,1,0.0301,0.821,0.0,0.0824,0.282,143.773,314329,4
2586,41,0.321,0.148,0,-13.452,1,0.0311,0.81,0.0,0.131,0.166,139.766,195846,3
2590,31,0.695,0.487,9,-8.486,1,0.0537,0.739,0.0,0.113,0.451,133.842,254227,4
2602,46,0.478,0.333,7,-11.441,1,0.0328,0.316,0.0,0.0646,0.204,74.935,342259,4
2609,44,0.301,0.47,1,-7.896,1,0.0314,0.195,0.0,0.113,0.0724,74.912,365186,4
2627,30,0.358,0.374,11,-7.232,1,0.0283,0.776,0.0,0.0885,0.138,135.134,281787,4
2628,43,0.448,0.795,4,-7.069,1,0.0585,0.0013,4.52e-06,0.197,0.133,150.017,400897,3
2648,52,0.594,0.856,0,-5.77,1,0.034,0.00158,8.73e-06,0.191,0.419,125.027,215213,4
2742,50,0.568,0.535,7,-6.819,1,0.0354,0.703,0.0,0.12,0.617,76.952,229213,4
2749,43,0.719,0.729,10,-6.583,0,0.0406,0.475,0.00116,0.103,0.387,108.216,286380,4
2765,13,0.605,0.187,0,-14.168,1,0.0275,0.893,1.34e-06,0.103,0.525,94.501,215923,4
2771,46,0.462,0.479,11,-5.74,1,0.0286,0.45,0.0,0.19,0.195,150.141,284770,4
2821,47,0.448,0.52,7,-7.17,1,0.0298,0.598,0.0,0.093,0.347,117.903,286851,3
2825,14,0.441,0.331,8,-11.947,1,0.0294,0.78,0.0,0.091,0.488,69.845,158277,4
2832,11,0.35,0.754,11,-4.484,1,0.0454,0.626,5.07e-06,0.617,0.825,186.241,177773,4
2844,48,0.496,0.898,7,-4.676,1,0.0431,8.04e-05,0.0108,0.114,0.385,97.029,261345,4
2898,17,0.364,0.874,11,-6.237,1,0.0368,0.00969,3.59e-05,0.417,0.214,158.039,275640,4
2902,39,0.544,0.929,7,-2.679,1,0.0678,0.00773,6.67e-05,0.389,0.53,124.0,228219,4
2919,36,0.633,0.589,2,-7.053,1,0.0397,0.0873,0.0,0.0929,0.667,123.047,177027,4
2920,50,0.808,0.484,5,-7.495,1,0.0892,0.462,0.0,0.264,0.481,149.055,165801,4
2931,41,0.652,0.529,10,-5.761,1,0.0464,0.357,2.05e-05,0.235,0.488,129.861,317675,4
2937,39,0.333,0.119,7,-15.373,1,0.0325,0.787,7.2e-05,0.103,0.0702,139.742,329534,4
2938,46,0.414,0.25,9,-11.802,1,0.029,0.776,0.0,0.0886,0.25,148.402,305768,4
2939,50,0.374,0.338,0,-12.44,1,0.029,0.737,6.42e-05,0.0649,0.0953,155.965,319739,3
2991,29,0.479,0.351,6,-7.431,1,0.029,0.719,0.0,0.0927,0.292,112.467,246107,3
3001,48,0.402,0.849,5,-6.321,1,0.0642,0.0078,0.0,0.258,0.0923,158.966,263000,4
3008,16,0.156,0.334,7,-12.0,1,0.0345,0.68,0.0,0.0937,0.138,177.715,219280,4
3016,17,0.498,0.777,0,-4.872,0,0.0336,0.0061,0.0,0.419,0.382,120.078,236042,4
3035,14,0.798,0.303,8,-8.984,0,0.0378,0.552,1.58e-05,0.112,0.394,145.905,226400,4
3044,26,0.571,0.88,1,-7.167,1,0.0301,0.292,0.0475,0.114,0.52,105.025,209755,4
3082,0,0.427,0.466,4,-9.271,1,0.0278,0.101,0.0147,0.11,0.0965,173.784,294347,4
3091,36,0.517,0.0166,10,-27.429,1,0.0445,0.993,0.959,0.0963,0.239,97.605,249499,3
3102,41,0.508,0.903,6,-5.046,1,0.247,0.0104,0.0,0.288,0.724,157.732,205979,4
3109,59,0.505,0.51,9,-5.986,1,0.0347,0.806,0.0,0.344,0.369,167.939,203683,3
3117,21,0.491,0.403,9,-8.302,1,0.0274,0.486,0.00103,0.252,0.316,72.476,261613,4
3123,19,0.366,0.333,9,-7.163,0,0.0307,0.0211,0.0,0.0749,0.0656,139.861,286787,4
3136,39,0.522,0.563,11,-6.469,1,0.0292,0.022,0.0,0.33,0.47,75.031,225681,4
3147,39,0.499,0.882,10,-4.576,1,0.0488,0.00742,0.0,0.122,0.439,76.013,201639,4
3180,42,0.44,0.566,11,-7.451,1,0.033,0.214,0.0,0.0657,0.338,146.97,264160,3
3183,48,0.502,0.613,10,-6.419,1,0.0295,0.0153,0.0,0.301,0.271,89.992,240566,4
3193,51,0.507,0.702,9,-5.506,1,0.0284,0.348,8.06e-05,0.139,0.285,140.092,260483,4
3218,31,0.225,0.327,1,-11.606,1,0.0319,0.329,0.0,0.11,0.0702,76.028,199812,4
3224,50,0.58,0.517,5,-5.677,1,0.0238,0.574,0.0,0.113,0.273,76.013,259042,4
3259,37,0.6,0.737,11,-7.149,1,0.041,0.00194,0.0119,0.107,0.704,109.046,211693,4
3293,56,0.378,0.596,5,-5.406,1,0.0323,0.0182,1.14e-05,0.144,0.172,135.968,339493,3
3303,45,0.474,0.908,10,-5.587,1,0.0997,0.00191,0.000763,0.165,0.164,123.819,246346,4
3333,52,0.37,0.822,11,-5.131,1,0.047,0.000817,0.000127,0.104,0.287,153.953,233302,4
3361,25,0.398,0.688,11,-7.988,0,0.0558,0.00689,0.00202,0.126,0.253,78.028,258681,4
3393,11,0.532,0.886,2,-2.097,0,0.0725,0.0342,1.08e-06,0.879,0.669,161.889,405080,4
3435,40,0.471,0.826,11,-5.566,1,0.0583,0.152,0.0,0.128,0.627,164.08,196093,4
3436,51,0.582,0.802,0,-5.156,1,0.0316,0.244,0.0,0.105,0.438,107.983,176987,4
3437,34,0.564,0.903,8,-5.209,1,0.049,0.0058,0.0,0.134,0.57,142.033,216133,4
3444,17,0.458,0.13,11,-11.865,1,0.0318,0.932,2.57e-06,0.101,0.187,124.85,263040,4
3446,44,0.504,0.69,7,-6.187,1,0.0291,0.0394,0.0,0.0918,0.566,87.963,176099,4
3458,29,0.311,0.572,7,-6.746,1,0.0403,0.255,1.7e-05,0.117,0.171,128.689,308363,3
3538,24,0.289,0.299,4,-10.909,1,0.031,0.644,5.87e-06,0.113,0.184,115.17,274640,3
3565,18,0.674,0.791,5,-6.184,1,0.0269,0.0164,0.000878,0.26,0.656,146.051,204133,4
3576,14,0.253,0.385,2,-8.94,0,0.0279,0.687,0.000121,0.151,0.144,138.949,217693,3
3579,24,0.262,0.452,2,-7.99,1,0.0331,0.374,0.0,0.143,0.446,106.54,310726,5
3580,32,0.385,0.786,0,-5.198,1,0.0406,0.00486,0.0,0.209,0.382,159.923,223400,4
3583,21,0.363,0.336,3,-8.897,1,0.0288,0.755,0.0,0.112,0.166,129.883,233587,4
3584,40,0.274,0.485,8,-9.375,1,0.0299,0.0852,0.0,0.129,0.333,146.464,338027,4
3591,9,0.603,0.86,6,-4.662,0,0.0777,0.0213,0.0,0.166,0.537,113.955,269427,4
3607,52,0.44,0.618,0,-6.098,1,0.0304,0.0738,0.0,0.0871,0.241,81.037,255160,4
3656,20,0.625,0.453,6,-7.313,1,0.0368,0.284,0.0,0.0766,0.576,119.948,268840,3
3657,19,0.572,0.424,5,-9.109,1,0.0272,0.813,0.0,0.13,0.357,127.932,239853,4
3660,38,0.642,0.849,1,-5.196,1,0.0554,0.00253,0.0,0.0717,0.703,107.968,199613,4
3686,35,0.488,0.905,8,-7.677,0,0.0793,4.39e-06,0.28,0.347,0.281,129.98,217693,4
3725,28,0.637,0.793,6,-5.428,1,0.03,0.0861,1.4e-06,0.0936,0.826,154.074,179493,4
3759,47,0.616,0.697,5,-6.559,1,0.0343,0.117,0.0,0.114,0.293,112.957,211864,4
3763,35,0.485,0.891,11,-4.967,0,0.158,5.52e-05,0.0,0.077,0.509,133.997,203310,4
3766,15,0.131,0.227,2,-12.062,1,0.048,0.935,0.387,0.0965,0.343,68.261,176120,3
3784,21,0.53,0.759,10,-6.637,1,0.0308,0.000464,3.07e-05,0.0524,0.622,131.984,200268,4
3810,43,0.441,0.85,10,-6.719,1,0.0372,0.00783,0.0,0.897,0.409,85.949,249013,4
3812,41,0.588,0.632,8,-4.952,1,0.0326,0.521,0.0,0.364,0.463,84.959,192613,4
3826,15,0.456,0.978,11,-3.773,1,0.137,0.000184,0.0176,0.118,0.394,167.958,245747,4
3856,60,0.491,0.773,10,-4.545,1,0.0328,0.0199,0.0,0.139,0.296,85.964,256133,4
3869,53,0.572,0.887,11,-4.304,0,0.102,0.00103,0.0,0.0302,0.558,121.002,198101,4
3872,48,0.558,0.605,9,-6.089,1,0.0303,0.353,0.0,0.177,0.305,89.846,210617,4
3890,30,0.427,0.713,1,-11.451,1,0.0369,0.00218,0.0,0.0971,0.796,172.574,180880,4
3896,20,0.548,0.249,6,-9.952,1,0.028,0.865,2.74e-05,0.11,0.283,87.951,227560,3
3897,12,0.557,0.371,4,-8.589,1,0.0267,0.632,0.0,0.219,0.35,86.118,173213,4
3903,30,0.408,0.132,10,-13.537,1,0.0337,0.925,0.0025,0.112,0.254,73.676,170843,4
3916,22,0.421,0.966,8,-4.34,1,0.0932,7.18e-05,8.71e-05,0.179,0.437,159.917,260063,4
4051,37,0.342,0.79,2,-11.755,1,0.0777,2.63e-05,0.0,0.0847,0.26,164.508,213333,4
4052,39,0.554,0.831,7,-3.66,1,0.0312,0.0465,0.0,0.28,0.777,96.039,164632,4
4056,44,0.478,0.433,11,-7.16,1,0.0328,0.77,0.0,0.219,0.31,147.919,246000,4
4078,35,0.571,0.804,7,-4.741,1,0.0413,0.00103,0.0,0.0993,0.507,100.007,199493,4
4111,10,0.771,0.529,0,-7.905,1,0.0292,0.737,0.0,0.173,0.693,119.798,187612,4
4124,26,0.436,0.912,1,-5.252,0,0.0572,0.000503,0.0264,0.107,0.227,149.9,227600,4
4166,14,0.485,0.384,4,-10.517,1,0.0289,0.778,1.05e-06,0.296,0.381,84.102,206173,1
4221,44,0.652,0.627,0,-6.573,1,0.0386,0.415,0.0,0.0868,0.383,130.004,212973,4
4224,28,0.37,0.938,2,-4.896,0,0.0592,0.000104,9.79e-06,0.348,0.437,175.957,240787,4
4276,15,0.364,0.416,5,-8.98,1,0.0317,0.482,0.0,0.133,0.253,143.816,220227,4
4291,8,0.593,0.984,10,-4.225,0,0.0692,0.00124,0.0,0.32,0.623,131.884,194640,3
4292,12,0.534,0.938,8,-4.706,0,0.0907,0.000318,0.000462,0.104,0.659,128.083,315507,4
4309,24,0.489,0.657,0,-7.401,1,0.0398,0.418,0.533,0.109,0.435,154.923,305238,4
4388,62,0.533,0.444,2,-7.794,1,0.0238,0.522,0.00019,0.129,0.319,76.977,265280,3
4391,47,0.529,0.785,11,-7.02,1,0.0377,0.00865,9.94e-05,0.0797,0.387,138.018,255587,4
4436,34,0.293,0.514,4,-9.83,1,0.0368,0.798,1.23e-05,0.673,0.169,84.417,217400,4
4465,29,0.404,0.431,6,-8.693,1,0.0264,0.355,0.0,0.132,0.366,87.822,243187,4
4474,51,0.275,0.366,10,-10.305,1,0.036,0.757,0.0,0.121,0.12,122.604,221733,4
4482,26,0.455,0.958,2,-4.831,1,0.123,0.00571,1.02e-05,0.43,0.636,162.996,211253,4
4543,44,0.456,0.61,7,-8.375,0,0.031,0.00337,3.74e-05,0.178,0.168,79.984,305822,4
4626,24,0.416,0.632,2,-5.715,1,0.027,0.0013,2.14e-05,0.0999,0.334,174.035,249307,4
4632,15,0.593,0.496,5,-6.939,1,0.0254,0.549,0.00553,0.214,0.478,107.942,231200,4
4659,28,0.265,0.223,0,-12.335,1,0.0389,0.925,0.000526,0.0957,0.16,87.265,231000,3
4693,41,0.381,0.592,11,-8.272,1,0.0313,0.0304,0.0,0.149,0.164,141.918,340573,4
4699,47,0.466,0.901,8,-1.945,0,0.0502,0.00661,0.0,0.091,0.77,88.858,207472,4
4707,16,0.24,0.976,6,-5.305,1,0.171,0.000103,2.37e-06,0.0946,0.115,186.07,252747,4
4756,28,0.393,0.747,5,-12.392,1,0.0602,0.000424,0.0,0.327,0.605,172.428,204160,4
4801,46,0.458,0.933,5,-4.83,0,0.107,0.0018,0.0252,0.0523,0.562,192.01,196960,4
4839,12,0.589,0.704,7,-8.089,1,0.0389,0.205,0.0,0.575,0.609,109.97,177320,4
4853,25,0.459,0.834,2,-3.753,1,0.0335,0.000247,0.00418,0.133,0.872,173.482,169293,4
4879,28,0.477,0.08,0,-14.881,1,0.0587,0.974,1.77e-06,0.412,0.192,114.391,220891,4
